taxon_name,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Brassicaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassicaceae,Brassicaceae,Brassicaceae
Calluna,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Calluna,Calluna,Calluna
Campanula,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,Campanula,Campanula
Circaea,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Circaea,Circaea,Circaea
Cirsium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cirsium,Cirsium,Cirsium
Crataegus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,Crataegus,Crataegus
Empetrum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,Empetrum,Empetrum
Filipendula,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Filipendula,Filipendula,Filipendula
Helianthemum,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,Helianthemum,Helianthemum
Ilex,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex,Ilex
Juglans,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans,Juglans
Juniperus,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus,Juniperus
Lactuca,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lactuca,Lactuca,Lactuca
Lythrum salicaria,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,Lythrum salicaria,Lythrum salicaria
Melampyrum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Melampyrum,Melampyrum,Melampyrum
Narthecium,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Nartheciaceae,Narthecium,Narthecium,Narthecium
Plantago undiff.,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago,Plantago
Polygala,Plantae,Tracheophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,Polygala,Polygala
Prunus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Prunus,Prunus,Prunus
Pulmonaria obscura-type,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Pulmonaria,Pulmonaria,Pulmonaria
Rhinanthus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Rhinanthus,Rhinanthus,Rhinanthus
Rumex acetosa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosa,Rumex acetosa
Rumex acetosella,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex acetosella,Rumex acetosella
Rumex obtusifolius,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex obtusifolius,Rumex obtusifolius
Rumex undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex,Rumex
Sambucus,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus,Sambucus
Scabiosa,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Scabiosa,Scabiosa,Scabiosa
Sorbus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sorbus,Sorbus,Sorbus
Succisa,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Succisa,Succisa,Succisa
Taxus,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,Taxus,Taxus
Ulex,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Ulex,Ulex,Ulex
Urtica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica,Urtica
Valeriana,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Valeriana,Valeriana,Valeriana
Armeria,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,Armeria,Armeria
Asteraceae,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Asteraceae,Asteraceae
Centaurea,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea,Centaurea
Chenopodiaceae sensu stricto,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthaceae,Amaranthaceae,Amaranthaceae
Ericales,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericales,Ericales,Ericales,Ericales
Euphorbiaceae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae,Euphorbiaceae
Gentianella,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Gentianella,Gentianella,Gentianella
Geraniaceae,Plantae,Tracheophyta,Magnoliopsida,Geraniales,Geraniaceae,Geraniaceae,Geraniaceae,Geraniaceae
Hypericum,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,Hypericum,Hypericum
Lamiaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Lamiaceae,Lamiaceae,Lamiaceae
Lonicera,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera,Lonicera
Plantago maritima,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago maritima,Plantago maritima
Polygonum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum,Polygonum
Potentilla,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla,Potentilla
Prunella,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Prunella,Prunella,Prunella
Pterocarya,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Pterocarya,Pterocarya,Pterocarya
Saxifragaceae,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifragaceae,Saxifragaceae,Saxifragaceae
Verbenaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Verbenaceae,Verbenaceae,Verbenaceae,Verbenaceae
Betula nana-type,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula,Betula
Ericales undiff.,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericales,Ericales,Ericales,Ericales
Plantago major/P. media,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago,Plantago
Rubiaceae,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubiaceae,Rubiaceae,Rubiaceae
Rumex subg. Acetosa,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex,Rumex
Abies alba,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies alba,Abies alba
Bistorta officinalis-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Bistorta,Bistorta,Bistorta
Cardamine pratensis-type,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Cardamine,Cardamine,Cardamine
Carpinus betulus,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Carpinus,Carpinus betulus,Carpinus betulus
Centaurea scabiosa,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,Centaurea scabiosa,Centaurea scabiosa
Chamaenerion angustifolium,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Chamaenerion,Chamaenerion angustifolium,Chamaenerion angustifolium
Chrysosplenium,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Chrysosplenium,Chrysosplenium,Chrysosplenium
Corylus avellana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Corylus,Corylus avellana,Corylus avellana
Echium,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,Echium,Echium
Ephedra foeminea-type,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra,Ephedra
Euonymus,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Celastraceae,Euonymus,Euonymus,Euonymus
Fagus sylvatica,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,Fagus sylvatica,Fagus sylvatica
Larix decidua,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Larix,Larix decidua,Larix decidua
Lysimachia vulgaris-type,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Lysimachia,Lysimachia,Lysimachia
Lythrum,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,Lythrum,Lythrum
Parnassia palustris,Plantae,Tracheophyta,Magnoliopsida,Celastrales,Parnassiaceae,Parnassia,Parnassia palustris,Parnassia palustris
Persicaria maculosa-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria,Persicaria
Picea abies,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Picea,Picea abies,Picea abies
Pleurospermum,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Pleurospermum,Pleurospermum,Pleurospermum
Polygonum aviculare,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum aviculare,Polygonum aviculare
Populus,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Salicaceae,Populus,Populus,Populus
Ranunculus arvensis-type,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus,Ranunculus
Rumex acetosa-type,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Rumex,Rumex,Rumex
Sambucus nigra-type,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Sambucus,Sambucus,Sambucus
Sanguisorba officinalis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,Sanguisorba officinalis,Sanguisorba officinalis
Scrophulariaceae,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Scrophulariaceae,Scrophulariaceae,Scrophulariaceae
Viburnum undiff.,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum,Viburnum
Vitis,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis,Vitis
Betula nana,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Betula,Betula nana,Betula nana
Dryas octopetala,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Dryas,Dryas octopetala,Dryas octopetala
Ephedra,Plantae,Tracheophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,Ephedra,Ephedra
Hippophaë,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae,Hippophae
Linnaea borealis,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Linnaea,Linnaea borealis,Linnaea borealis
Mercurialis,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Mercurialis,Mercurialis,Mercurialis
Persicaria amphibia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Persicaria,Persicaria amphibia,Persicaria amphibia
Plantago major,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago major,Plantago major
Portulaca,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Portulacaceae,Portulaca,Portulaca,Portulaca
Ranunculus,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus,Ranunculus
Secale,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Secale,Secale,Secale
Triticum,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Triticum,Triticum,Triticum
Viburnum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Viburnaceae,Viburnum,Viburnum,Viburnum
Abies,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Abies,Abies,Abies
Acer platanoides,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer platanoides,Acer platanoides
Acer undiff.,Plantae,Tracheophyta,Magnoliopsida,Sapindales,Sapindaceae,Acer,Acer,Acer
Alnus glutinosa,Plantae,Tracheophyta,Magnoliopsida,Fagales,Betulaceae,Alnus,Alnus glutinosa,Alnus glutinosa
Asteraceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Asteraceae,Asteraceae,Asteraceae
Caryophyllaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Caryophyllaceae,Caryophyllaceae,Caryophyllaceae
Convolvulaceae,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Convolvulaceae,Convolvulaceae,Convolvulaceae
Echinops,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Echinops,Echinops,Echinops
Fagopyrum esculentum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum esculentum,Fagopyrum esculentum
Fagopyrum tataricum,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum tataricum,Fagopyrum tataricum
Fagopyrum undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Fagopyrum,Fagopyrum,Fagopyrum
Hippophaë rhamnoides,Plantae,Tracheophyta,Magnoliopsida,Rosales,Elaeagnaceae,Hippophae,Hippophae rhamnoides,Hippophae rhamnoides
Knautia arvensis,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Knautia,Knautia arvensis,Knautia arvensis
Malvaceae sensu stricto,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Malvaceae,Malvaceae,Malvaceae
Onagraceae,Plantae,Tracheophyta,Magnoliopsida,Myrtales,Onagraceae,Onagraceae,Onagraceae,Onagraceae
Pinus sylvestris,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Pinus,Pinus sylvestris,Pinus sylvestris
Plumbaginaceae,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Plumbaginaceae,Plumbaginaceae,Plumbaginaceae
Poaceae undiff.,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Poaceae,Poaceae,Poaceae
Polygonaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonaceae,Polygonaceae,Polygonaceae
Polygonum sensu lato undiff.,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum,Polygonum
Ranunculaceae undiff.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculaceae,Ranunculaceae,Ranunculaceae
Rhamnus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Rhamnus,Rhamnus,Rhamnus
Ribes,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Grossulariaceae,Ribes,Ribes,Ribes
Thalictrum aquilegiifolium,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum aquilegiifolium,Thalictrum aquilegiifolium
Thalictrum lucidum,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum lucidum,Thalictrum lucidum
Thalictrum undiff.,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Thalictrum,Thalictrum,Thalictrum
Ulmus glabra,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus glabra,Ulmus glabra
Ulmus laevis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus laevis,Ulmus laevis
Ulmus minor,Plantae,Tracheophyta,Magnoliopsida,Rosales,Ulmaceae,Ulmus,Ulmus minor,Ulmus minor
Vitis vinifera,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,Vitis vinifera,Vitis vinifera
Anemone,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone,Anemone
Arctium,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,Arctium,Arctium
Hypericaceae,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericaceae,Hypericaceae,Hypericaceae
Matricaria,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Matricaria,Matricaria,Matricaria
Plantago,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago,Plantago
Tilia platyphyllos,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,Tilia platyphyllos,Tilia platyphyllos
Koenigia,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Koenigia,Koenigia,Koenigia
Medicago,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Medicago,Medicago,Medicago
Primulaceae,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Primulaceae,Primulaceae,Primulaceae
Tilia cordata,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Tilia,Tilia cordata,Tilia cordata
Arbutus unedo,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Arbutus,Arbutus unedo,Arbutus unedo
Armeria maritima (type A),Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,Armeria maritima,Armeria maritima
Empetrum nigrum,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Empetrum,Empetrum nigrum,Empetrum nigrum
Erica tetralix,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Erica,Erica tetralix,Erica tetralix
Euphorbia,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia,Euphorbia
Fraxinus excelsior,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Fraxinus,Fraxinus excelsior,Fraxinus excelsior
Hedera helix,Plantae,Tracheophyta,Magnoliopsida,Apiales,Araliaceae,Hedera,Hedera helix,Hedera helix
Ilex aquifolium,Plantae,Tracheophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,Ilex aquifolium,Ilex aquifolium
Juglans regia,Plantae,Tracheophyta,Magnoliopsida,Fagales,Juglandaceae,Juglans,Juglans regia,Juglans regia
Liliaceae,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Liliaceae,Liliaceae,Liliaceae
Lonicera periclymenum,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Lonicera,Lonicera periclymenum,Lonicera periclymenum
Myrica gale,Plantae,Tracheophyta,Magnoliopsida,Fagales,Myricaceae,Myrica,Myrica gale,Myrica gale
Narthecium ossifragum,Plantae,Tracheophyta,Liliopsida,Dioscoreales,Nartheciaceae,Narthecium,Narthecium ossifragum,Narthecium ossifragum
Pedicularis,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Pedicularis,Pedicularis,Pedicularis
Plantago coronopus,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago coronopus,Plantago coronopus
Plantago lanceolata-type,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago,Plantago
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago uniglumis,Plantago uniglumis
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago uniglumis,Plantago uniglumis
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago uniglumis,Plantago uniglumis
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago unibracteata,Plantago unibracteata
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago unibracteata,Plantago unibracteata
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Plantago,Plantago unibracteata,Plantago unibracteata
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Littorella,Littorella uniflora,Littorella uniflora
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Littorella,Littorella uniflora,Littorella uniflora
Plantago uniflora,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Littorella,Littorella uniflora,Littorella uniflora
Potentilla undiff.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Potentilla,Potentilla,Potentilla
Rubus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus,Rubus
Sanguisorba,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Sanguisorba,Sanguisorba,Sanguisorba
Saxifraga,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,Saxifraga,Saxifraga
Sedum,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,Sedum,Sedum
Taxus baccata,Plantae,Tracheophyta,Pinopsida,Pinales,Taxaceae,Taxus,Taxus baccata,Taxus baccata
Teucrium,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Teucrium,Teucrium,Teucrium
Tsuga heterophylla,Plantae,Tracheophyta,Pinopsida,Pinales,Pinaceae,Tsuga,Tsuga heterophylla,Tsuga heterophylla
Urtica dioica,Plantae,Tracheophyta,Magnoliopsida,Rosales,Urticaceae,Urtica,Urtica dioica,Urtica dioica
Vaccinium,Plantae,Tracheophyta,Magnoliopsida,Ericales,Ericaceae,Vaccinium,Vaccinium,Vaccinium
Vicia,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Vicia,Vicia,Vicia
Ranunculus lingua,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Ranunculus,Ranunculus lingua,Ranunculus lingua
Buxus,Plantae,Tracheophyta,Magnoliopsida,Buxales,Buxaceae,Buxus,Buxus,Buxus
Cannabis,Plantae,Tracheophyta,Magnoliopsida,Rosales,Cannabaceae,Cannabis,Cannabis,Cannabis
Castanea,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Castanea,Castanea,Castanea
Ligustrum,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Oleaceae,Ligustrum,Ligustrum,Ligustrum
Polygonum oxyspermum subsp. raii,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Polygonum,Polygonum raii,Polygonum oxyspermum raii
Rubus chamaemorus,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Rubus,Rubus chamaemorus,Rubus chamaemorus
