Taxon_Name_Neotoma,Ondrej_ID,Taxon_ID,Higher_Taxon1_Neotoma,Higher_Taxon2_Neotoma,taxon_name,NsitesInNA,Notes,...9,...10
cf. Verbena,NA,1079,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Verbenaceae,NA,792,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Veronica,NA,3666,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Veronicastrum virginicum,NA,24006,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Viola,NA,773,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Vitis,NA,2632,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Weinmannia,NA,2548,Eudicotyledoneae incertae sedis,Eudicotyledoneae,skip,NA,NA,NA,NA
cf. Zamia,NA,5761,Cycadophyta,Spermatophyta,skip,NA,NA,NA,NA
Chamaebatiaria millefolium,NA,9613,Chamaebatiaria,Rosaceae,Rosaceae undiff.,NA,NA,NA,NA
Chamaecrista-type,NA,1101,Fabaceae subf. Caesalpinioideae,Fabaceae,Fabaceae undiff.,3,NA,NA,NA
Chamaecrista fasciculata-type,NA,780,Chamaecrista-type,Fabaceae subf. Caesalpinioideae,Fabaceae undiff.,NA,NA,NA,NA
Chamaecyparis-type,NA,594,Cupressaceae,Cupressophyta,Cupressaceae undiff.,0,NA,NA,NA
Chamaecyparis thyoides,NA,595,Chamaecyparis,Chamaecyparis-type,Cupressaceae undiff.,1,NA,NA,NA
Chamaedaphne,NA,9124,Ericaceae subf. Vaccinioideae,Ericaceae,Ericaceae subf. Vaccinioideae,NA,NA,NA,NA
Chamaedaphne calyculata,NA,53,Chamaedaphne,Ericaceae subf. Vaccinioideae,Ericaceae subf. Vaccinioideae,NA,NA,NA,NA
Chamaenerion angustifolium,NA,14859,Chamaenerion,Onagraceae,Onagraceae undiff.,2,NA,NA,NA
Chamaenerion latifolium,NA,14860,Chamaenerion,Onagraceae,Onagraceae undiff.,5,NA,NA,NA
Chamaesyce,NA,814,Euphorbiaceae,Malpighiales,Euphorbiaceae undiff.,14,all MN,NA,NA
Chamaesyce-type,NA,3621,Euphorbiaceae,Malpighiales,Euphorbiaceae undiff.,10,NC & NE USE,NA,NA
Cheirodendron,NA,NA,NA,NA,skip,0,NA,NA,NA
Chenopodiaceae sensu stricto,NA,7651,Amaranthaceae,Caryophyllales,Amaranthaceae undiff.,NA,NA,NA,NA
Chenopodium,NA,5070,Amaranthaceae,Caryophyllales,Chenopodium,NA,NA,NA,NA
Chenopodium-type,NA,804,Amaranthaceae,Caryophyllales,Chenopodium,NA,NA,NA,NA
Chenopodium album-type,NA,9615,Chenopodium-type,Amaranthaceae,Chenopodium,NA,NA,NA,NA
Chimaphila,424,NA,NA,NA,skip,2,NA,NA,NA
Chrysobalanaceae,NA,NA,NA,NA,Chrysobalanaceae,2,FL sites,NA,NA
Chrysolepis,NA,1247,Chrysolepis/Lithocarpus,Fagaceae,Chrysolepis,NA,NA,NA,NA
Chrysolepis-type,NA,2965,Fagaceae,Fagales,Chrysolepis,NA,NA,NA,NA
Chrysolepis/Lithocarpus,NA,863,Fagaceae,Fagales,Chrysolepis,NA,NA,NA,NA
Chrysosplenium,NA,3690,Saxifragaceae,Saxifragales,Saxifragaceae undiff.,2,NA,NA,NA
Chrysothamnus-type,429,NA,NA,NA,skip,1,NA,NA,NA
Cichorieae,430,NA,NA,NA,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Cichorioideae,431,NA,NA,NA,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Cichorioideae undiff.,432,NA,NA,NA,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Cichorium-type,NA,2659,Asteraceae tribe Cichorieae,Asteraceae subf. Cichorioideae,Asteraceae subf. Cichorioideae,NA,NA,NA,NA
Circaea,NA,821,Onagraceae,Myrtales,Onagraceae undiff.,4,NA,NA,NA
Circaea alpina,436,NA,NA,NA,Onagraceae undiff.,NA,NA,NA,NA
Cirsium,NA,1253,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,Cirsium,55,WUS,NA,NA
Cirsium-type,NA,2918,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,Cirsium,18,rocky mountains,NA,NA
Cirsium/Carduus-type,NA,822,Asteraceae tribe Cynareae,Asteraceae subf. Carduoideae,Cirsium,NA,NA,NA,NA
Cistaceae,NA,55,Malvales,Malvidae,Cistaceae undiff.,6,NA,NA,NA
Cistanthe,NA,9616,Montiaceae,Caryophyllales,Montiaceae undiff.,1,NA,NA,NA
Citrus,NA,56,Rutaceae,Sapindales,Citrus,3,NA,NA,NA
Claoxylon,NA,NA,NA,NA,skip,0,NA,NA,NA
Claytonia,NA,854,Montiaceae,Caryophyllales,Claytonia,13,AK,NA,NA
Claytonia-type,444,NA,NA,NA,Claytonia,NA,NA,NA,NA
Claytonia acutifolia,445,NA,NA,NA,Claytonia,NA,NA,NA,NA
Claytonia undiff.,446,NA,NA,NA,Claytonia,NA,NA,NA,NA
Clematis,NA,2519,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,1,NA,NA,NA
Clematis-type,NA,3500,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,2,NA,NA,NA
Cleome,NA,3179,Cleomaceae,Brassicales,Cleome,14,SWUS,NA,NA
Clethra,NA,58,Clethraceae,Ericales,Clethra,50,NA,NA,NA
Clethra-type,451,NA,NA,NA,Clethra,NA,NA,NA,NA
Clusiaceae,NA,1750,Malpighiales,Fabidae,Clusiaceae,4,NA,NA,NA
Cnidium,NA,2672,Apiaceae,Apiales,Apiaceae,1,NA,NA,NA
Coccoloba,NA,59,Polygonaceae,Caryophyllales,Polygonaceae undiff.,1,NA,NA,NA
Collinsia,NA,1481,Plantaginaceae,Lamiales,Plantaginaceae undiff.,4,WUS,NA,NA
Colubrina,NA,NA,NA,NA,skip,0,NA,NA,NA
Comandra,NA,60,Santalaceae,Santalales,Santalaceae undiff.,5,NA,NA,NA
Comarum palustre-type,NA,27953,Comarum-type,Rosaceae,Rosaceae undiff.,NA,NA,NA,NA
Combretaceae,460,NA,NA,NA,skip,1,NA,NA,NA
Combretaceae/Melastomataceae,NA,257,Myrtales,Rosidae,skip,3,FL,NA,NA
Combretaceae/Melastomataceae undiff.,NA,1215,Combretaceae/Melastomataceae,Myrtales,skip,2,FL,NA,NA
Commelinaceae,NA,1989,Commelinales,Commelinidae,Commelinaceae,2,could drop,NA,NA
Comptonia,NA,24007,Myricaceae,Fabales,Myricaceae undiff.,1,NA,NA,NA
Comptonia peregrina,NA,597,Comptonia,Myricaceae,Myricaceae undiff.,7,NA,NA,NA
Coniferae,NA,1944,Pan-Coniferae,Spermatophyta,skip,NA,NA,NA,NA
Coniferae undiff.,NA,1943,Coniferae,Pan-Coniferae,skip,NA,NA,NA,NA
Conioselinum,467,NA,NA,NA,Apiaceae,NA,NA,NA,NA
Convolvulaceae,NA,1327,Solanales,Lamiidae,Convolvulaceae,NA,NA,NA,NA
Convolvulus,NA,1501,Convolvulaceae,Solanales,Convolvulaceae,3,NA,NA,NA
Convolvulus-type,NA,1094,Convolvulaceae,Solanales,Convolvulaceae,1,NA,NA,NA
Coprosma,NA,NA,NA,NA,skip,0,NA,NA,NA
Coptis,NA,1204,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,8,"BC, looks like one worker",NA,NA
Coptis-type,NA,3617,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,1,NA,NA,NA
Coptis aspleniifolia,NA,3147,Coptis,Ranunculaceae,Ranunculaceae undiff.,NA,NA,NA,NA
Coptis trifolia,NA,1424,Coptis,Ranunculaceae,Ranunculaceae undiff.,NA,NA,NA,NA
Cornaceae,NA,1693,Cornales,Asteridae,skip,NA,NA,NA,NA
Cornus,NA,361,Cornaceae,Cornales,Cornus,NA,NA,NA,NA
Cornus alternifolia,NA,599,Cornus subg. Mesomora,Cornus,Cornus,NA,NA,NA,NA
Cornus amomum-type,NA,3632,Cornus subg. Thelycrania,Cornus,Cornus,NA,NA,NA,NA
Cornus canadensis,NA,600,Cornus subg. Arctocrania,Cornus,Cornus,NA,NA,NA,NA
Cornus canadensis-type,NA,831,Cornus subg. Arctocrania,Cornus,Cornus,NA,NA,NA,NA
Cornus cf. C. sericea,NA,1506,Cornus subg. Thelycrania,Cornus,Cornus,NA,NA,NA,NA
Cornus florida,NA,830,Cornus subg. Cynoxylon,Cornus,Cornus,NA,NA,NA,NA
Cornus racemosa,NA,3170,Cornus subg. Thelycrania,Cornus,Cornus,NA,NA,NA,NA
Cornus sanguinea,486,NA,NA,NA,Cornus,NA,NA,NA,NA
Cornus sanguinea-type,487,NA,NA,NA,Cornus,NA,NA,NA,NA
Cornus sericea,NA,579,Cornus subg. Thelycrania,Cornus,Cornus,NA,NA,NA,NA
Cornus sericea-type,NA,551,Cornus subg. Thelycrania,Cornus,Cornus,NA,NA,NA,NA
Cornus suecica,NA,4175,Cornus subg. Arctocrania,Cornus,Cornus,NA,NA,NA,NA
Cornus unalaschkensis,490,NA,NA,NA,Cornus,NA,NA,NA,NA
Cornus undiff.,NA,65,Cornus,Cornaceae,Cornus,NA,NA,NA,NA
Corylus,NA,67,Betulaceae,Fabales,Corylus,NA,NA,NA,NA
Corylus-type,NA,3399,Betulaceae/Myricaceae,Fabales,Corylus,NA,NA,NA,NA
Corylus americana,NA,3157,Corylus,Betulaceae,Corylus,NA,NA,NA,NA
Corylus cornuta,NA,603,Corylus,Betulaceae,Corylus,NA,NA,NA,NA
Crassula,NA,3630,Crassulaceae,Saxifragales,Crassulaceae,5,NA,NA,NA
Crassulaceae,NA,68,Saxifragales,Pentapetalae,Crassulaceae,5,NA,NA,NA
Crataegus,NA,1430,Rosaceae,Rosales,Rosaceae undiff.,5,NA,NA,NA
Crataegus-type,NA,69,Rosaceae,Rosales,Rosaceae undiff.,2,NA,NA,NA
Crinum,NA,9624,Amaryllidaceae,Asparagales,Amaryllidaceae undiff.,7,NA,NA,NA
Crotalaria-type,NA,9625,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,1,NA,NA,NA
Cryptantha,NA,1502,Boraginaceae,Lamiidae,Boraginaceae,2,NA,NA,NA
Cucurbita,501,NA,NA,NA,Cucurbitaceae,NA,NA,NA,NA
Cucurbitaceae,NA,NA,NA,NA,Cucurbitaceae,3,NA,NA,NA
Cupressaceae,NA,72,Cupressophyta,Coniferae,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae-type,NA,3609,Cupressophyta incertae sedis,Cupressophyta,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae cf. Thuja occidentalis,NA,756,Cupressaceae,Cupressophyta,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae undiff.,NA,534,Cupressaceae,Cupressophyta,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae/Taxaceae,NA,1358,Cupressophyta,Coniferae,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae/Taxaceae undiff.,NA,1274,Cupressaceae/Taxaceae,Cupressophyta,Cupressaceae undiff.,NA,NA,NA,NA
Cupressaceae|pollen|NISP,508,NA,NA,NA,Cupressaceae undiff.,NA,NA,NA,NA
Cupressus,NA,1476,Cupressus-type,Cupressaceae,Cupressaceae undiff.,3,NA,NA,NA
Cuscuta,NA,73,Convolvulaceae,Solanales,Convolvulaceae,9,NA,NA,NA
Cyanea,NA,NA,NA,NA,skip,0,NA,NA,NA
Cyclachaena xanthiifolia,NA,457,Cyclachaena,Asteraceae subtribe Ambrosiinae,Cyclachaena,NA,NA,NA,NA
Cyclachaena xanthiifolia-type,NA,143,Asteraceae subtribe Ambrosiinae,Asteraceae tribe Heliantheae,Cyclachaena,NA,NA,NA,NA
Cyperaceae,NA,74,Poales,Commelinidae,Cyperaceae,NA,NA,NA,NA
Cyperaceae undiff.,NA,430,Cyperaceae,Poales,Cyperaceae,NA,NA,NA,NA
Cyperus,NA,3517,Cyperaceae,Poales,Cyperaceae,3,NA,NA,NA
Cyrilla racemiflora,NA,75,Cyrillaceae,Ericales,Cyrilla,9,FL,NA,NA
Cyrtandra,NA,NA,NA,NA,skip,0,NA,NA,NA
Dalea,NA,431,Fabaceae subf. Faboideae,Fabaceae,Dalea,79,Great Plains,NA,NA
Dalea candida,NA,432,Dalea candida-type,Dalea,Dalea,NA,NA,NA,NA
Dalea candida-type,NA,204,Dalea,Fabaceae subf. Faboideae,Dalea,NA,NA,NA,NA
Dalea purpurea,NA,433,Dalea purpurea-type,Dalea,Dalea,NA,NA,NA,NA
Dalea purpurea-type,NA,205,Dalea,Fabaceae subf. Faboideae,Dalea,NA,NA,NA,NA
Dalea undiff.,NA,203,Dalea,Fabaceae subf. Faboideae,Dalea,NA,NA,NA,NA
Delphinium,NA,2627,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,11,NA,NA,NA
Delphinium-type,NA,3482,Ranunculaceae,Ranunculales,Ranunculaceae undiff.,NA,NA,NA,NA
Dianthus-type,NA,2549,Caryophyllaceae,Caryophyllales,Caryophyllaceae undiff.,1,FL,NA,NA
Diapensia,NA,1158,Diapensiaceae,Ericales,Diapensia,8,AK,NA,NA
Dicentra,NA,937,Papaveraceae subf. Fumarioideae,Papaveraceae,Papaveraceae,3,NA,NA,NA
Diervilla,NA,2263,Caprifoliaceae subf. Diervilloideae,Caprifoliaceae,Caprifoliaceae undiff.,3,NA,NA,NA
Dioscoreaceae,NA,4867,Dioscoreales,Petrosaviidae,skip,1,only one site,NA,NA
Diospyros,NA,852,Ebenaceae,Ericales,Diospyros,5,EUS,NA,NA
Diospyros-type,NA,79,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Diospyros,3,NA,NA,NA
Dipsacoideae,NA,NA,NA,NA,skip,2,NA,NA,NA
Dipsacus,NA,1341,Caprifoliaceae subf. Dipsacoideae,Caprifoliaceae,Caprifoliaceae undiff.,3,NA,NA,NA
Dodecatheon,NA,443,Dodecatheon-type,Primulaceae,Dodecatheon,20,western type,NA,NA
Dodecatheon-type,NA,1165,Primulaceae,Ericales,Dodecatheon,5,NA,NA,NA
Dodonaea,NA,80,Sapindaceae subf. Dodonaeoideae,Sapindaceae,Sapindaceae undiff. undiff.,7,SUS,NA,NA
Douglasia,NA,2671,Primulaceae,Ericales,Primulaceae undif.,1,NA,NA,NA
Draba,538,NA,NA,NA,skip,0,NA,NA,NA
Dracocephalum-type,NA,805,Lamiaceae,Lamiales,Lamiaceae undiff.,3,MN,NA,NA
Dryas,NA,444,Rosaceae,Rosales,Dryas,NA,NA,NA,NA
Dryas-type,NA,82,Rosaceae,Rosales,Dryas,NA,NA,NA,NA
Dryas integrifolia,NA,1110,Dryas,Rosaceae,Dryas,NA,NA,NA,NA
Elaeagnaceae,NA,85,Rosales,Fabidae,Elaeagnaceae undiff.,NA,NA,NA,NA
Elaeagnaceae undiff.,NA,907,Elaeagnaceae,Rosales,Elaeagnaceae undiff.,NA,NA,NA,NA
Elaeagnus,NA,84,Elaeagnaceae,Rosales,Elaeagnus,57,NA,NA,NA
Elaeagnus commutata,NA,615,Elaeagnus,Elaeagnaceae,Elaeagnus,NA,NA,NA,NA
Elaeagnus/Shepherdia argentea,NA,365,Elaeagnaceae,Rosales,Elaeagnaceae undiff.,NA,NA,NA,NA
Eleocharis,NA,3520,Cyperaceae,Poales,Cyperaceae,29,Scattered,NA,NA
Elymus,NA,134,Poaceae,Poales,Elymus,9,NA,NA,NA
Elymus-type,NA,616,Poaceae,Poales,Elymus,6,NA,NA,NA
Empetrum,NA,86,Ericaceae subf. Ericoideae,Ericaceae,Ericaceae subf. Ericoideae,23,NA,NA,NA
Empetrum-type,NA,1026,Ericaceae subf. Ericoideae,Ericaceae,Ericaceae subf. Ericoideae,5,NA,NA,NA
Empetrum cf. E. nigrum,552,NA,NA,NA,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Empetrum nigrum,553,NA,NA,NA,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Empetrum nigrum-type,554,NA,NA,NA,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Engelhardia-type,NA,522,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Juglandaceae undiff.,1,NA,NA,NA
Ephedra,NA,366,Ephedraceae,Gnetophyta,Ephedra,NA,NA,NA,NA
Ephedra (branched folds),558,NA,NA,NA,Ephedra,NA,NA,NA,NA
Ephedra (simple folds),NA,816,Ephedra,Ephedraceae,Ephedra,NA,NA,NA,NA
Ephedra fragilis-type,NA,NA,NA,NA,Ephedra,NA,NA,NA,NA
Ephedra nevadensis,NA,9638,Ephedra (branched folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedra nevadensis-type,NA,368,Ephedra (branched folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedra torreyana,NA,NA,NA,NA,Ephedra,NA,NA,NA,NA
Ephedra torreyana-type,NA,367,Ephedra (simple folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedra trifurca-type,NA,89,Ephedra (simple folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedra undiff.,NA,87,Ephedra,Ephedraceae,Ephedra,NA,NA,NA,NA
Ephedra viridis,NA,9637,Ephedra (branched folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedra viridis-type,NA,88,Ephedra (branched folds),Ephedra,Ephedra,NA,NA,NA,NA
Ephedraceae,NA,23490,Gnetophyta,Spermatophyta,skip,4,only 4 sites and no other taxa than ephedra,NA,NA
Epilobium,NA,90,Onagraceae,Myrtales,Epilobium,NA,NA,NA,NA
Epilobium-type,NA,2196,Onagraceae,Myrtales,Epilobium,NA,NA,NA,NA
Ericaceae,NA,92,Ericales,Asteridae,Ericaceae undiff.,NA,NA,NA,NA
Ericaceae-type,NA,722,Ericales,Asteridae,Ericaceae undiff.,NA,NA,NA,NA
Ericaceae subf. Ericoideae,NA,4245,Ericaceae,Ericales,Ericaceae subf. Ericoideae,NA,NA,NA,NA
Ericaceae subf. Monotropoideae,NA,1159,Ericaceae,Ericales,Ericaceae subf. Monotropoideae,NA,NA,NA,NA
Ericaceae undiff.,NA,909,Ericaceae,Ericales,Ericaceae undiff.,NA,NA,NA,NA
Ericales,NA,848,Asteridae,Pentapetalae,skip,NA,NA,NA,NA
Ericales undiff.,NA,849,Ericales,Asteridae,skip,NA,NA,NA,NA
Eriodictyon californicum,NA,9641,Eriodictyon,Boraginaceae,Boraginaceae,NA,NA,NA,NA
Eriogonum,NA,94,Polygonaceae,Caryophyllales,Eriogonum,211,NA,NA,NA
Eriogonum-type,NA,2968,Eudicotyledoneae incertae sedis,Eudicotyledoneae,Eriogonum,NA,NA,NA,NA
Erodium,NA,3180,Geraniaceae,Geraniales,Erodium,16,SWUS,NA,NA
Erodium cicutarium,NA,1483,Erodium,Geraniaceae,Erodium,NA,NA,NA,NA
Eryngium-type,NA,1779,Apiaceae,Apiales,Apiaceae,1,NA,NA,NA
Erythranthe guttata,585,NA,NA,NA,skip,1,NA,NA,NA
Erythrina,NA,NA,NA,NA,Fabaceae undiff.,1,Bermuda,NA,NA
Eschscholzia californica,NA,9643,Eschscholzia,Papaveraceae,Papaveraceae,1,NA,NA,NA
Eucalyptus,NA,1249,Myrtaceae,Myrtales,skip,NA,NA,NA,NA
Eugenia,NA,102,Myrtaceae,Myrtales,Eugenia,4,NA,NA,NA
Eugenia-type,NA,1133,Myrtaceae,Myrtales,Eugenia,NA,NA,NA,NA
Eugenia/Melaleuca,NA,23506,Myrtaceae,Myrtales,Eugenia,NA,NA,NA,NA
Euonymus,NA,103,Celastraceae,Celastrales,Celastraceae,0,NA,NA,NA
Eupatorium,NA,1571,Asteraceae tribe Eupatorieae,Asteraceae subf. Asteroideae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Eupatorium-type,NA,823,Asteraceae subf. Asteroideae,Asteraceae,Asteraceae subf. Asteroideae,NA,NA,NA,NA
Euphorbia,NA,104,Euphorbiaceae,Malpighiales,Euphorbia,64,WUS & SEUS,NA,NA
Euphorbia-type,NA,1266,Euphorbiaceae,Malpighiales,Euphorbia,NA,NA,NA,NA
Euphorbiaceae,NA,694,Malpighiales,Fabidae,Euphorbiaceae undiff.,NA,NA,NA,NA
Euphorbiaceae cf. Chamaesyce,NA,9687,Euphorbiaceae,Malpighiales,Euphorbiaceae undiff.,NA,NA,NA,NA
Euphorbiaceae undiff.,NA,2542,Euphorbiaceae,Malpighiales,Euphorbiaceae undiff.,NA,NA,NA,NA
Fabaceae,NA,346,Fabales,Fabidae,Fabaceae undiff.,NA,NA,NA,NA
Fabaceae cf. tribe Psoraleeae,NA,24004,Fabaceae subf. Faboideae,Fabaceae,Fabaceae undiff.,NA,NA,NA,NA
Fabaceae undiff.,NA,157,Fabaceae,Fabales,Fabaceae undiff.,NA,NA,NA,NA
Fagaceae,NA,328,Fagales,Fabidae,Fagaceae undiff.,NA,NA,NA,NA
Fagaceae undiff.,602,NA,NA,NA,Fagaceae undiff.,NA,NA,NA,NA
Fagopyrum,NA,106,Polygonaceae,Caryophyllales,Polygonaceae undiff.,11,upper midwest,NA,NA
Fagus,NA,107,Fagaceae,Fagales,Fagus,NA,NA,NA,NA
Fagus grandifolia,NA,2588,Fagus,Fagaceae,Fagus,NA,NA,NA,NA
Fagus/Nyssa,NA,1070,Pentapetalae incertae sedis,Pentapetalae,Fagus,NA,NA,NA,NA
Fallopia cf. F. scandens,NA,1513,Fallopia,Polygonaceae,Polygonaceae undiff.,NA,NA,NA,NA
Fallopia convolvulus,NA,3432,Fallopia,Polygonaceae,Polygonaceae undiff.,3,Great Plains,NA,NA
Fallopia convolvulus-type,NA,3950,Fallopia,Polygonaceae,Polygonaceae undiff.,10,Great Plains,NA,NA
Ficus,NA,1727,Moraceae,Urticalean Rosids,Ficus,2,FL,NA,NA
Ficus aurea,NA,3531,Ficus,Moraceae,Ficus,NA,NA,NA,NA
Filipendula,NA,1428,Rosaceae,Rosales,Rosaceae undiff.,8,NA,NA,NA
Filipendula rubra,NA,3622,Filipendula,Rosaceae,Rosaceae undiff.,2,NA,NA,NA
Forestiera,NA,109,Oleaceae,Lamiales,Oleaceae undiff.,2,SEUS,NA,NA
Fouquieria,NA,1584,Fouquieriaceae,Ericales,Fouquieria,4,SWUS,NA,NA
Fragaria,NA,2945,Rosaceae,Rosales,Rosaceae undiff.,10,WNA,NA,NA
Fragaria-type,NA,1096,Rosaceae,Rosales,Rosaceae undiff.,2,NA,NA,NA
Frangula purshiana-type,NA,1468,Rhamnaceae,Rosales,Rhamnaceae undiff.,1,NA,NA,NA
Fraxinus,NA,369,Oleaceae,Lamiales,Fraxinus,NA,NA,NA,NA
Fraxinus (tetracolpate),NA,110,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus (tricolpate),NA,111,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus americana,NA,1102,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus americana-type,NA,371,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus anomala,NA,1527,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus caroliniana,NA,9644,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus cf. F. nigra,NA,1504,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus latifolia,NA,1465,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus latifolia-type,NA,975,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus nigra,NA,1082,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus nigra-type,NA,112,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus pennsylvanica,NA,1083,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus pennsylvanica-type,NA,113,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus pennsylvanica/F. americana-type,NA,961,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus quadrangulata-type,NA,NA,NA,NA,Fraxinus,NA,NA,NA,NA
Fraxinus quadrangulata/F. nigra-type,NA,960,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus undiff.,NA,114,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Fraxinus velutina-type,NA,1528,Fraxinus,Oleaceae,Fraxinus,NA,NA,NA,NA
Freycinetia,NA,NA,NA,NA,skip,0,NA,NA,NA
Fritillaria,639,NA,NA,NA,Liliaceae,NA,NA,NA,NA
Fritillaria camschatcensis,NA,3718,Fritillaria,Liliaceae,Liliaceae,2,BC,NA,NA
Froelichia-type,NA,2550,Amaranthaceae,Caryophyllales,Amaranthaceae undiff.,1,NA,NA,NA
Galium,NA,116,Rubiaceae,Gentianales,Galium,349,NA,NA,NA
Galium-type,NA,1416,Rubiaceae,Gentianales,Galium,NA,NA,NA,NA
Garrya,NA,866,Garrya-type,Garryaceae,Garrya,8,"CA, WUS",NA,NA
Garrya-type,NA,2969,Garryaceae,Garryales,Garrya,NA,NA,NA,NA
Gaultheria,NA,117,Ericaceae subf. Vaccinioideae,Ericaceae,Ericaceae subf. Vaccinioideae,NA,NA,NA,NA
Gaura,NA,446,Onagraceae,Myrtales,Gaura,9,Great Plains,NA,NA
Gaylussacia,NA,118,Ericaceae subf. Vaccinioideae,Ericaceae,Ericaceae subf. Vaccinioideae,1,NA,NA,NA
Gentiana,NA,448,Gentianaceae,Gentianales,Gentiana,32,NA,NA,NA
Gentiana-type,NA,2561,Geraniaceae,Geraniales,Gentiana,NA,this sure seems like a typo,NA,NA
Gentiana andrewsii-type,NA,447,Gentiana,Gentianaceae,Gentiana,NA,NA,NA,NA
Gentiana douglasiana,NA,3148,Gentiana,Gentianaceae,Gentiana,NA,NA,NA,NA
Gentiana undiff.,NA,2533,Gentiana,Gentianaceae,Gentiana,NA,NA,NA,NA
Gentianaceae,NA,119,Gentianales,Lamiidae,Gentianaceae undiff.,NA,NA,NA,NA
Gentianaceae undiff.,NA,3625,Gentianaceae,Gentianales,Gentianaceae undiff.,NA,NA,NA,NA
Gentianella,NA,1024,Gentianaceae,Gentianales,Gentianaceae undiff.,1,NA,NA,NA
Geraniaceae,NA,1178,Geraniales,Rosidae,Geraniaceae undiff.,17,NA,NA,NA
Geranium,NA,120,Geraniaceae,Geraniales,Geranium,38,NA,NA,NA
Geum,NA,2160,Rosaceae,Rosales,Geum,13,NA,NA,NA
Geum-type,NA,121,Rosaceae,Rosales,Geum,13,NA,NA,NA
Gilia,NA,868,Polemoniaceae,Ericales,Gilia,29,WUS,NA,NA
Gilia-type,NA,526,Polemoniaceae,Ericales,Gilia,NA,NA,NA,NA
Glaux maritima,NA,623,Glaux,Primulaceae,Primulaceae undiff.,2,NA,NA,NA
Gleditsia,NA,122,Fabaceae subf. Caesalpinioideae,Fabaceae,Fabaceae undiff.,7,NA,NA,NA
Gomphrena-type,NA,123,Amaranthaceae,Caryophyllales,Amaranthaceae undiff.,3,FL,NA,NA
Gordonia,NA,124,Theaceae,Ericales,Gordonia,9,"FL, only instance of Theaceae",NA,NA
Gossypium,NA,5255,Malvaceae subf. Malvoideae,Malvaceae,Malvaceae undiff.,NA,NA,NA,NA
Gouania,NA,NA,NA,NA,skip,0,NA,NA,NA
Grossulariaceae,NA,2274,Saxifragales,Pentapetalae,Grossulariaceae undiff.,NA,NA,NA,NA
Gunnera,NA,NA,NA,NA,skip,0,NA,NA,NA
