Taxon name orig.,Pollen type
Viburnum undiff.,Viburnum
Alnus rhombifolia-type,Alnus
Pseudotsuga-type,Pseudotsuga
Fraxinus latifolia-type,Fraxinus
Berberis-type,Berberis
Ephedra undiff.,Ephedra
Ephedra torreyana-type,Ephedra
Fraxinus pennsylvanica,Fraxinus
Ephedra viridis-type,Ephedra
Pseudotsuga,Pseudotsuga
Cercocarpus-type,Cercocarpus
Ephedra trifurca-type,Ephedra
Holodiscus-type,Holodiscus
Ribes montigenum,Ribes
Lyonia,Lyonia
Sarcobatus,Sarcobatus
Acer saccharinum,Acer
Toxicodendron,Rhus/Toxicodendron
Myrica-type,Myrica/Comptonia
Pinus albicaulis-type,Pinus
Pinus contorta-type,Pinus
Prunus-type,Prunus/Sorbus
Sambucus-type,Sambucus
Clethra,Clethra
Cyrilla racemiflora,Cyrilla racemiflora
Gordonia,Gordonia
Pinus subg. Pinus undiff.,Pinus
Planera aquatica,Planera aquatica
Sapindus,Sapindus
Serenoa,Serenoa
Symplocos,Symplocos
Styloceras,Styloceras
Arecaceae undiff.,Arecaceae
Pinus clausa-type,Pinus
Osmanthus,Osmanthus
Eugenia,Eugenia
Cornus sericea-type,Cornus
Dodonaea,Dodonaea
Pistacia,Pistacia
Itea,Itea
Ceratiola ericoides-type,Ceratiola ericoides-type
Araliaceae,Araliaceae
Cornus cf. C. sericea,Cornus
Acer negundo-type,Acer
Carpinus-type,Ostrya/Carpinus
Fraxinus cf. F. nigra,Fraxinus
Elaeagnus,Elaeagnus
Morus-type,Morus
cf. Nemopanthus,Ilex
cf. Rhus,Rhus/Toxicodendron
cf. Rhamnus,Rhamnus
cf. Myrica,Myrica/Comptonia
Cercocarpus,Cercocarpus
Populus undiff.,Populus
Ephedra (simple folds),Ephedra
Ostrya,Ostrya/Carpinus
Juniperus/Thuja,Juniperus/Thuja
Alnus viridis,Alnus
Lithocarpus,Lithocarpus
Sequoiadendron,Sequoiadendron
Alnus incana,Alnus
Myrica/Comptonia peregrina,Myrica/Comptonia
Chrysolepis/Lithocarpus,Chrysolepis
Amorpha-type,Amorpha
Aquifoliaceae,Ilex
Andromeda,Andromeda
Ceanothus-type,Ceanothus
Acer cf. A. negundo,Acer
Cupressus,Cupressus
Cornus undiff.,Cornus
Arctostaphylos,Arctostaphylos
Maclura pomifera-type,Maclura
Alnus (pentaporate),Alnus
Alnus (tetraporate),Alnus
Alnus (triporate),Alnus
Alnus (hexaporate),Alnus
Acer circinatum,Acer
Pinus monticola-type,Pinus
Acer macrophyllum,Acer
Populus balsamifera,Populus
cf. Populus,Populus
Pinus contorta,Pinus
Pinus monticola,Pinus
Fraxinus pennsylvanica/F. americana-type,Fraxinus
Gleditsia,Gleditsia
Populus deltoides-type,Populus
Viburnum acerifolium-type,Viburnum
Viburnum lentago-type,Viburnum
Fraxinus quadrangulata/F. nigra-type,Fraxinus
Toxicodendron radicans,Rhus/Toxicodendron
Prunus virginiana-type,Prunus/Sorbus
Adiantum pedatum,Adiantum
Berchemia scandens,Berchemia
Calycanthus,Calycanthus
Ilex-type,Ilex
Prunus americana-type,Prunus/Sorbus
Viburnum opulus-type,Viburnum
Ostrya-type,Ostrya/Carpinus
Nemopanthus mucronatus,Ilex
Pinus resinosa-type,Pinus
Pinus strobus-type,Pinus
Thuja plicata-type,Juniperus/Thuja
Tilia americana,Tilia
Larix laricina,Larix
Liriodendron tulipifera,Liriodendron
Diospyros-type,Diospyros
Comptonia peregrina,Myrica/Comptonia
Pinus edulis-type,Pinus
Pinus flexilis,Pinus
Pinus ponderosa,Pinus
Ephedra nevadensis-type,Ephedra
Purshia-type,Purshia
Pinus aristata,Pinus
Ribes aureum,Ribes
Parkinsonia,Parkinsonia
cf. Cercocarpus,Cercocarpus
Fraxinus anomala,Fraxinus
Shepherdia rotundifolia,Shepherdia
Fraxinus velutina-type,Fraxinus
Yucca,Yucca
Prosopis,Prosopis
Pinus flexilis-type,Pinus
Berberis,Berberis
Pinus subg. Strobus undiff.,Pinus
cf. Celtis,Celtis
cf. Carya,Carya
Amelanchier,Amelanchier
Alnus rubra,Alnus
Alnus viridis subsp. sinuata,Alnus
Quercus undiff.,Quercus
Quercus vaccinifolia-type,Quercus
Alnus viridis subsp. crispa-type,Alnus
Syringa vulgaris,Syringa
Alnus viridis subsp. crispa,Alnus
Robinia,Robinia
Betula (>20 µm),Betula
Betula (<20 µm),Betula
Morus rubra,Morus
Acer rubrum-type,Acer
Sambucus racemosa,Sambucus
Betula glandulosa,Betula
Juniperus communis,Juniperus/Thuja
Thuja,Juniperus/Thuja
Pinus edulis,Pinus
Carpinus,Ostrya/Carpinus
Shepherdia undiff.,Shepherdia
Populus tremuloides,Populus
Pinus jeffreyi-type,Pinus
Sequoia,Sequoia
Castanopsis,Castanopsis
Sorbus,Prunus/Sorbus
Purshia,Purshia
Juniperus/Calocedrus,Juniperus/Thuja
Taxus canadensis,Taxus
Viburnum-type,Viburnum
cf. Prunus,Prunus/Sorbus
Oplopanax horridus,Oplopanax
Pinus banksiana,Pinus
Picea sitchensis,Picea
Maclura,Maclura
Zanthoxylum,Zanthoxylum
Cornaceae,Cornus
Picea glauca-type|pollen|NISP,Picea
Picea glauca-type|stomate|NISP,Picea
Amelanchier-type,Amelanchier
Picea indet.,Picea
Symphoricarpos-type,Symphoricarpos
cf. Cephalanthus,Cephalanthus
Rhus/Toxicodendron,Rhus/Toxicodendron
Tsuga canadensis-type,Tsuga
Viburnum rafinesquianum-type,Viburnum
Pinus subg. Pinus-type,Pinus
Pinus subg. Strobus-type,Pinus
Betula glandulosa-type,Betula
Grossulariaceae,Ribes
Abies|stomate|grains/ml|stomate|grains/ml,Abies
Abies|pollen|NISP|pollen|NISP,Abies
Abies|stomate|NISP|stomate|NISP,Abies
Picea|stomate|grains/ml|stomate|grains/ml,Picea
Picea|pollen|NISP|pollen|NISP,Picea
Picea|stomate|NISP|stomate|NISP,Picea
Acer glabrum,Acer
Betula (shrub),Betula
Picea rubens-type,Picea
Myrica/Comptonia,Myrica/Comptonia
Betula (small),Betula
Acer sp.,Acer
Pinus rigida,Pinus
Ptelea trifoliata,Ptelea
Quercus garryana,Quercus
Adiantum aleuticum,Adiantum
Clethra-type,Clethra
Pinus subg. Pinus (large),Pinus
Pinus subg. Pinus (small),Pinus
Pinus subg. Strobus (large),Pinus
Pinus subg. Strobus (small),Pinus
Betula undiff.,Betula
Buxus,Buxus
Thuja-type,Juniperus/Thuja
Garrya-type,Garrya
Cornus florida,Cornus
Pinus det. P. banksiana/P. resinosa,Pinus
Pinus det. P. strobus,Pinus
Chrysolepis-type,Chrysolepis
Shepherdia canadensis-type,Shepherdia
Viburnum lentago,Viburnum
Pterocarya,Pterocarya
Fraxinus americana-type,Fraxinus
Prunus virginiana,Prunus/Sorbus
Viburnum alnifolium,Viburnum
Acer cf. A. pensylvanicum,Acer
Cornus alternifolia,Cornus
Rhamnus cathartica,Rhamnus
Rhamnus alnifolia/Frangula alnus,Rhamnus
Betula mean pollen-grain diameter,Betula
Elaeagnus commutata,Elaeagnus
Crataegus-type,Crataegus
Cornus sericea,Cornus
Pinus (large),Pinus
Pinus (small),Pinus
Ephedra nevadensis,Ephedra
Ephedra viridis,Ephedra
cf. Castanopsis,Castanopsis
Gossypium,Gossypium
Larrea,Larrea
Betula (tree),Betula
Chamaebatiaria millefolium,Chamaebatiaria
Tsuga undiff.,Tsuga
Abies undiff.,Abies
Eucalyptus,Eucalyptus
Pinus subsect. Cembroides,Pinus
Cornus racemosa,Cornus
Hamamelis,Hamamelis
Chamaedaphne,Chamaedaphne
Ephedra (branched folds),Ephedra
cf. Amelanchier,Amelanchier
Ephedraceae,Ephedra
Quercus-type,Quercus
Ulmaceae,Ulmus
Acer-type,Acer
Quercus vaccinifolia,Quercus
cf. Taxus,Taxus
Malus,Malus
Ribes-type,Ribes
Magnolia virginiana-type,Magnolia
Acer saccharum/A. nigrum,Acer
Tsuga|pollen|NISP,Tsuga
Tsuga|stomate|NISP,Tsuga
Acer spicatum-type,Acer
Taxodium-type,Taxodium
Pinus rigida-type,Pinus
Taxus-type,Taxus
Acacia-type,Acacia
Cornus sanguinea-type,Cornus
Oplopanax,Oplopanax
Ostrya/Carpinus-type,Ostrya/Carpinus
Magnolia/Liliaceae,Magnolia
Alnus cf. A. incana,Alnus
Betula cf. B. occidentalis,Betula
Quercus gambelii-type,Quercus
cf. Cercocarpus ledifolius,Cercocarpus
