taxon_name,Pollen_type
cf. Brassicaceae,Brassicaceae
cf. Carpinus,Carpinus
cf. Dryas,Dryas
cf. Hypericum,Hypericum
cf. Ilex,Ilex
cf. Mercurialis,Mercurialis
cf. Quercus,Quercus
cf. Ranunculus,Ranunculus
cf. Taxus,Taxus
cf. Thalictrum,Thalictrum
cf. Urtica,Urtica
Ranunculus sect. Batrachium-type,Ranunculus
cf. Chrysosplenium,Chrysosplenium
cf. Cyperaceae-type,Cyperaceae
cf. Larix,Larix
cf. Melampyrum,Melampyrum
cf. Pedicularis,Pedicularis
cf. Saxifraga granulata,Saxifraga
cf. Saxifraga stellaris-type,Micranthes
cf. Scutellaria,Scutellaria
Cornus suecica (thick wall),Cornus
Ericaceae cf. Calluna,Ericaceae
Euphorbiaceae cf. Mercurialis,Euphorbiaceae
Onagraceae cf. Epilobium,Onagraceae
Rubus cf. R. idaeus,Rubus
Anagallis cf. A. arvensis,Lysimachia
Anagallis cf. A. tenella,Lysimachia
cf. Frangula alnus,Frangula
cf. Lycopsis arvensis,Lycopsis
cf. Myricaria germanica,Myricaria
Polygonum cf. P. aviculare,Polygonum
Rumex cf. R. longifolius,Rumex
"Alnus (shrub, pale shallow pores)",Alnus
"Alnus (tree, robust deep pores)",Alnus
Betula (hybrid),Betula
Betula (tree),Betula
Betula undiff.,Betula
Cannabaceae cf. Cannabis sativa,Cannabaceae
Centaurea cf. C. cyanus,Centaurea
Chamaenerion-type,Chamaenerion
Micranthes cf. M. stellaris,Micranthes
Cichorieae,Asteraceae
Pinus subg. Pinus,Pinus
Koenigia alpina,Koenigia
Centaurea stoebe-type,Centaurea
Amaranthaceae-type,Amaranthaceae
Helianthemum oelandicum subsp. alpestris-type,Helianthemum
Paradisea liliastrum,Paradisea
Spermatophyta undiff. (cf. upland herbs),undiff
Lotus pedunculatus,Lotus
Polygonum-type sensu lato,Polygonum
Lycopsis arvensis-type,Lycopsis
Rhododendron subsect. Ledum,Rhododendron
Cerastium undiff.,Cerastium
Saussurea nuda,Saussurea
Stellaria undiff.,Stellaria
Asteroideae undiff.,Asteraceae
Silene uniflora subsp. uniflora-type,Silene
Koenigia alpina-type,Koenigia
Persicaria amphibia-type,Persicaria
Silenoideae-type,Caryophyllaceae
Anemone sect. Pulsatilla,Pulsatilla
Bistorta officinalis/B. vivipara,Bistorta
cf. Anthericum,Anthericum
cf. Xanthium-type,Xanthium
Rumex acetosa/Oxyria-type,Rumex
Rosaceae (trees),Rosaceae
Monotropoideae,Ericaceae
cf. Samolus,Samolus
Dipsacoideae undiff.,Caprifoliaceae
Euphorbiaceae undiff.,Euphorbiaceae
Persicaria maculosa,Persicaria
Araliaceae undiff.,Araliaceae
Poaceae undiff. (>40 µm),Poaceae
Poaceae undiff. (<40 µm),Poaceae
Helianthemum undiff.,Helianthemum
cf. Herniaria,Herniaria
Hystrix,Elymus
Caryophyllaceae cf. Silene latifolia subsp. alba,Caryophyllaceae
cf. Littorella,Littorella
cf. Lobelia,Lobelia
cf. Montia,Montiaceae
Poaceae (large),Poaceae
Centaurea montana/Cyanus triumfettii,Centaurea
Persicaria lapathifolia-type,Persicaria
cf. Xanthium,Xanthium
Pinus subg. Strobus-type,Pinus
Silene undiff.,Silene
Arum/Acorus,Arum/Acora
cf. Chrysanthemum,Chrysanthemum
cf. Triticum turgidum subsp. dicoccon,Triticum
Poaceae (Cerealia-type) undiff.,Poaceae
Cistus salviifolius,Cistus
Lycopsis arvensis,Lycopsis
Anemone sect. Hepatica,Hepatica
Pinus subg. Pinus-type,Pinus
cf. Polemonium,Polemonium
Persicaria lapathifolia,Persicaria
Quercus (deciduous),Quercus
Gentianaceae undiff.,Gentianaceae
Tilia undiff.,Tilia
Engelhardia-type,Engelhardia
Liquidambar,Liquidambar
Nyssa,Nyssa
Saxifraga undiff.,Saxifraga
Sileneae,Caryophyllaceae
Symplocos,Symplocos
Centaurea undiff.,Centaurea
Normapolles,undiff
Anemone sect. Pulsatilla-type,Anemone
Quercus (deciduous-type),Quercus
Quercus (evergreen-type),Quercus
Carduoideae,Asteraceae
Atropa belladonna,Atropa
Calystegia sepium-type,Calystegia
Dioscorea,Dioscorea
Plantago pro parte,Plantago
Urticalean Rosids,undiff
Chrysosplenium undiff.,Chrysosplenium
Boraginaceae undiff.,Boraginaceae
Asteroideae pro parte,Asteraceae
Caryophyllaceae pro parte,Caryophyllaceae
Fabaceae pro parte,Fabaceae
Lamiaceae pro parte,Lamiaceae
Liliaceae pro parte,Liliaceae
Poaceae pro parte,Poaceae
Ranunculaceae pro parte,Ranunculaceae
Rosaceae pro parte,Rosaceae
Spermatophyta undiff. (upland herbs),undiff
cf. Acorus,Acorus
cf. Alchemilla,Alchemilla
cf. Daphne,Daphne
cf. Euphorbia,Euphorbia
cf. Lonicera,Lonicera
cf. Myrtus,Myrtus
cf. Olea,Olea
cf. Persicaria amphibia,Persicaria
cf. Polygonum,Polygonum
cf. Succisa,Succisa
cf. Viscum,Viscum
Quercus undiff.,Quercus
cf. Filipendula,Filipendula
Ulex/Cytisus sect. Spartopsis,Ulex
cf. Ruta,Ruta
cf. Veronica,Veronica
Lamiaceae (hexacolpate),Lamiaceae
Lamiaceae (tricolpate),Lamiaceae
Coniferae undiff.,Pinales
Dioscorea communis,Dioscorea
Linum undiff.,Linum
Bistorta vivipara-type,Bistorta
Ericales (tetrad),undiff
Brassicaceae-type,Brassicaceae
cf. Sedum,Sedum
Hypericum undiff.,Hypericum
Alnus undiff.,Alnus
Liliaceae-type undiff.,Liliaceae
Pinus undiff.,Pinus
Silene viscaria-type,Silene
Primulaceae undiff.,Primulaceae
Cichorioideae-type,Asteraceae
Poaceae (annulus >10 µm),Poaceae
Crassulaceae undiff.,Crassulaceae
Poaceae (<37 µm),Poaceae
Anemone alpina,Anemone
Seseli,Seseli
Pseudofumaria lutea-type,Pseudofumaria
Spermatophyta undiff. (shrubs),undiff
Succisa pratensis-type,Succisa
Trachycarpus fortunei,Trachycarpus
Morus alba-type,Morus
Aster/Achillea-type,Aster/Achillea
cf. Digitalis,Digitalis
cf. Geum,Geum
Trifolium undiff.,Trifolium
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",Betulaceae/Myricaceae
cf. Juncus,Juncus
Amaranthus,Amaranthus
Anemone hortensis-type,Anemone
Bituminaria bituminosa,Bituminaria
Chamaerops humilis,Chamaerops
Fedia cornucopiae,Fedia
Gypsophila arrostii,Gypsophila
Pinus subg. Strobus,Pinus
Rumex scutatus-type,Rumex
Saxifraga tridactylitis-type,Saxifraga
Simethis planifolia,Simethis
Smyrnium-type,Smyrnium
Urtica membranacea-type,Urtica
Silene vulgaris,Silene
Ailanthus,Ailanthus
Alnus incana-type,Alnus
Humulus/Urtica,Humulus
Myrtus-type,Myrtus
Vicia faba-type,Vicia
Lonicera caerulea,Lonicera
Thymus/Mentha-type,Thymus/Mentha
cf. Platanus,Platanus
cf. Sedum-type,Sedum
Fraxinus undiff.,Fraxinus
Primula integrifolia-type,Primula
Anthemis-type (small),Anthemis
Chaerophyllum temulum,Chaerophyllum
Colchicum montanum,Colchicum
Dianthus lusitanus-type,Dianthus
Gagea nevadensis,Gagea
Lythrum undiff.,Lythrum
Plantago coronopus sensu stricto,Plantago
Plantago subulata-type,Plantago
Silene ciliata-type,Silene
cf. Convolvulus,Convolvulus
Humulus/Cannabis sativa,Humulus
cf. Trollius europaeus,Trollius
Empetrum hermaphroditum,Empetrum
Faboideae undiff.,Faboidea
Hyacinthoides-type,Hyacinthoides
Lotus pedunculatus-type,Lotus
Saxifragaceae undiff.,Saxifragaceae
Oleaceae undiff.,Oleaceae
Viscum album sensu lato,Viscum
Abies undiff.,Abies
Sambucus undiff.,Sambucus
Scrophulariaceae pro parte,Scrophulariaceae
Microrrhinum minus,Chaenorhinum
Ephedra strobilacea-type,Ephedra
Ballota group,Ballota
Liriodendron tulipifera,Liriodendron
Mercurialis undiff.,Mercurialis
Sagina nodosa group,Sagina
Silene viscaria,Viscaria
Vicia-type sensu stricto,Vicia
cf. Rhinanthus,Rhinanthus
Bromus,Bromus
Cannabaceae sensu stricto,Cannabaceae
cf. Cirsium,Cirsium
cf. Lotus,Lotus
cf. Papaver,Papaver
Persicaria cf. P. maculosa,Persicaria
Artemisia undiff.,Artemisia
cf. Fabaceae,Fabaceae
cf. Hippophae rhamnoides,Hippophae
cf. Saxifraga oppositifolia-type,Saxifraga
Rosaceae (trees) undiff.,Rosaceae
cf. Frangula,Frangula
Fallopia cf. F. convolvulus,Fallopia
Micranthes nivalis/M. tenuis,Micranthes
Rubus cf. R. saxatilis,Rubus
Quercus (evergreen),Quercus
Polygonum aviculare/Bistorta officinalis,Polygonum
Sarcopoterium-type,Sarcopoterium
Polygonoideae pro parte,Calligonum
Alchemilla group,Alchemilla
Arum,Arum
cf. Carya,Carya
cf. Phillyrea,Phillyrea
cf. Plantago,Plantago
cf. Pterocarya fraxinifolia,Pterocarya
cf. Ranunculaceae,Ranunculaceae
Dipsacus/Cephalaria,Dipsacus
Genista group,Genista
Liliaceae sensu lato,Liliaceae
Lomelosia argentea-type,Lomelosia
Ostrya/Carpinus betulus-type,Ostrya
Ranunculus lanuginosus-type,Ranunculus
Rhinanthus group,Rhinanthus
Sorbus group,Sorbus
Corrigiola litoralis-type,Corrigiola
Echium vulgare-type,Echium
Erica undiff.,Erica
Geranium molle-type,Geranium
Illecebrum verticillatum-type,Illecebrum
Valerianella-type,Valerianella
Circaea lutetiana-type,Circaea
Corrigiola telephiifolia-type,Corrigiola
Erodium cicutarium-type,Erodium
Filipendula vulgaris-type,Filipendula
Limonium humile-type,Limonium
Phillyrea angustifolia-type,Phillyrea
Pinguicula vulgaris-type,Pinguicula
Sagina procumbens-type,Sagina
Smyrnium,Smyrnium
Aconitum lycoctonum subsp. septentrionale,Aconitum
cf. Galeopsis,Galeopsis
cf. Oxytropis,Oxytropis
Secale (primitive),Secale
Triticum spelta-type,Triticum
cf. Rhamnus,Rhamnus
Poaceae (>40 µm),Poaceae
Solidago-type/Saussurea-type,Solidago
Ericaceae cf. Cassiope,Ericaceae
cf. Maianthemum,Maianthemum
cf. Limosella aquatica,Limosella
cf. Helianthemum,Helianthemum
Poaceae (annulus 8-10 µm),Poaceae
Cornus undiff.,Cornus
Betula sect. Apterocaryon,Betula
Erica ciliaris,Erica
Ephedra undiff.,Ephedra
Falcaria,Falcaria
Ziziphus,Ziziphus
Foeniculum-type,Foeniculum
Adenostyles alliariae,Adenostyles
Anemone nemorosa group,Anemone
Anthemis arvensis-type,Anthemis
cf. Androsace,Androsace
Petasites hybridus-type,Petasites
Ranunculus acris/R. flammula/R. sceleratus group,Ranunculus
Senecio/Aster,Senecio
Tripolium pannonicum subsp. tripolium-type,Tripolium
Triticum undiff.,Triticum
Orthilia secunda,Orthilia
Taraxacum officinale,Taraxacum
"Caryophyllaceae (periporate, excluding Paronychioideae)",Caryophyllaceae
Cannabis sativa-type,Cannabis
"Poaceae (Cerealia, 37-40 µm)",Poaceae
"Poaceae (Cerealia, 40-50 µm)",Poaceae
"Poaceae (Cerealia, >50 µm)",Poaceae
Ericoideae,Ericaceae
Festuca,Festuca
Rosaceae (herbs) undiff.,Rosaceae
Quercus faginea-type,Quercus
Filago,Filago
cf. Pterocarya,Pterocarya
cf. Gentianaceae,Gentianaceae
Rubus chamaemorus-type,Rubus
Corylus/Myrica undiff.,Corylus
Cistus undiff.,Cistus
Parietaria-type,Parietaria
Valeriana undiff.,Valeriana
Daphne/Thymelaea,Daphne/Thymelaea
Ephedra major subsp. major,Ephedra
cf. Juniperus,Juniperus
Olea/Phillyrea,Olea/Phillyrea
Helianthemum marifolium,Helianthemum
Lotus undiff.,Lotus
Malvaceae undiff.,Malvaceae
Poaceae (>37 µm),Poaceae
Sagina apetala-type,Sagina
Spermatophyta undiff. (trees/shrubs),undiff
Ulex/Cytisus sect. Spartopsis-type,Ulex
Alchemilla pentaphyllea,Alchemilla
Hypericum elodes-type,Hypericum
Ailanthus altissima,Ailanthus
Anthericum liliago,Anthericum
Cicer arietinum,Cicer
Geranium molle group,Geranium
Geranium pratense group,Geranium
Magnoliaceae,Magnoliaceae
Rubus undiff.,Rubus
Vicia hirsuta/V. tetrasperma,Vicia
Caprifoliaceae undiff.,Caprifoliaceae
Asteraceae undiff. (type 2),Asteraceae
cf. Cuscuta,Cuscuta
Pinguicula cf. P. vulgaris,Pinguicula
Centaurium erythraea,Centaurium
Fumaria officinalis,Fumaria
Alnus subg. Alnobetula,Alnus
Orobanchaceae,Orobanchaceae
Poaceae (annulus 10-12 µm),Poaceae
Malus sylvestris,Malus
Poterium sanguisorba subsp. sanguisorba,Poterium
Cistaceae undiff.,Cistaceae
Cucumis-type,Cucumis
Amaranthaceae (broken),Amaranthaceae
Amaranthaceae (crumpled),Amaranthaceae
Asteraceae undiff. (broken),Asteraceae
Asteraceae undiff. (crumpled),Asteraceae
Cedrus (broken),Cedrus
Cedrus (crumpled),Cedrus
Cedrus (degraded),Cedrus
Cornaceae-type,Cornaceae
Cyperaceae (broken),Cyperaceae
Cyperaceae (corroded),Cyperaceae
Cyperaceae (crumpled),Cyperaceae
Cyperaceae (degraded),Cyperaceae
Oleaceae (broken),Oleaceae
Oleaceae (crumpled),Oleaceae
Oleaceae (obscured),Oleaceae
Ostrya/Corylus-type,Ostrya
Pinaceae (broken),Pinaceae
Pinaceae (corroded),Pinaceae
Pinaceae (crumpled),Pinaceae
Pinaceae (degraded),Pinaceae
Pinaceae (obscured),Pinaceae
Pinus (broken),Pinus
Pinus (corroded),Pinus
Pinus (crumpled),Pinus
Pinus (degraded),Pinus
Pinus (fragmented),Pinus
Poaceae (broken),Poaceae
"Poaceae (Cerealia-type, broken)",Poaceae
"Poaceae (Cerealia-type, corroded)",Poaceae
"Poaceae (Cerealia-type, crumpled)",Poaceae
Poaceae (corroded),Poaceae
Poaceae (crumpled),Poaceae
Poaceae (degraded),Poaceae
Quercus coccifera-type (broken),Quercus
Quercus coccifera-type: corroded,Quercus
Quercus coccifera-type (crumpled),Quercus
Quercus undiff. (broken),Quercus
Quercus undiff. (corroded),Quercus
Quercus undiff. (crumpled),Quercus
Quercus undiff. (degraded),Quercus
Quercus undiff. (obscured),Quercus
Salix-type,Salix
Arnoseris,Arnoseris
Gynandriris sisyrinchium,Moraea
Anemone pulsatilla-type,Anemone
Robinia pseudoacacia,Robinia
Vaccaria hispanica,Gypsophila
Anemone subg. Anemone,Anemone
Genista/Cytisus,Genista/Cytisus
Lathyrus linifolius-type,Lathyrus
Lamium purpureum var. hybridum-type,Lamium
Geranium columbinum-type,Geranium
Chenopodium sp.,Chenopodium
Convolvulus undiff.,Convolvulus
Crocus-type,Crocus
Cupressaceae undiff.,Cupressaceae
Dracunculus,Dracunculus
Gentiana undiff.,Gentiana
Lavatera-type,Malva
Paeonia,Paeonia
Plantaginaceae undiff.,Plantaginaceae
Plantago lanceolata/P. lagopus,Plantago
Rumex subg. Emex,Rumex
Sarcopoterium spinosum/Poterium sanguisorba,Sarcopoterium
Senecio sp.,Senecio
Arnoseris minima,Arnoseris
Caryophyllaceae (porate),Caryophyllaceae
Artemisia sp.,Artemisia
Capsella,Capsella
Gentianella sp.,Gentianella
cf. Avena sativa,Avena
cf. Peucedanum-type,Peucedanum
cf. Sambucus,Sambucus
Sorbus sp.,Sorbus
Triticum aestivum,Triticum
Vaccinium sp.,Vaccinium
Vaccinium vitis-idaea,Vaccinium
Apiaceae cf. Pleurospermum,Apiaceae
cf. Lamiaceae,Lamiaceae
Ericaceae cf. Vaccinium,Ericaceae
Rosaceae cf. Prunus,Rosaceae
Rosaceae cf. Sorbus,Rosaceae
Aesculus-type,Aesculus
Dipsacaceae undiff.,Dipsacaceae
Hordeum group,Hordeum
Atriplex sp.,Atriplex
Chrysosplenium alternifolium,Chrysosplenium
Salsola sp.,Salsola
Thalictrum sp.,Thalictrum
Pinus cembroides,Pinus
Pinus (haplostellate),Pinus
Tussilago,Tussilago
Kalmia,Kalmia
Minuartia,Minuartia
Pinus strobus-type,Pinus
Kalmia procumbens,Kalmia
Pinus nigra,Pinus
Lotus sp.,Lotus
Centaurea aspera-type,Centaurea
cf. Pterocarya/Juglans,Pterocarya
Cirsium cf. C. palustre,Cirsium
Cyanus triumfettii,Centaurea
Liliales,undiff
Pinus mugo/P. sylvestris,Pinus
Plantago maritima subsp. serpentina,Plantago
Polycarpon tetraphyllum,Polycarpon
Ranunculus fluitans-type,Ranunculus
Solanum dulcamara/Sedum,Solanum
Solenanthus-type,Solenanthus
Valeriana tuberosa,Valeriana
Aconitum group,Aconitum
Amaranthaceae undiff.,Amaranthaceae
Anemone pulsatilla,Pulsatilla
Anemone pulsatilla group,Pulsatilla
Gratiola,Gratiola
Sison amomum-type,Sison
Amaranthaceae (small),Amaranthaceae
Apiaceae (apiculate),Apiaceae
Apiaceae (large),Apiaceae
Apiaceae (medium),Apiaceae
Apiaceae (small),Apiaceae
Caryophyllaceae (large),Caryophyllaceae
Caryophyllaceae (small),Caryophyllaceae
cf. Cornus,Cornus
cf. Mentha,Mentha
cf. Oxyria,Oxyria
cf. Rhus,Rhus
Pinus (large),Pinus
Pinus (small),Pinus
Poaceae (small),Poaceae
Quercus rotundifolia,Quercus
Lotus maritimus,Lotus
Trifolium pannonicum,Trifolium
"Poaceae (Cerealia-type, indeterminable)",Poaceae
Centaurea pro parte,Centaurea
Cistus pro parte,Cistus
Plantago altissima-type,Plantago
Plantago argentea-type,Plantago
Plantago carinata-type,Plantago
Quercus pro parte,Quercus
Linum cf. L. usitatissimum,Linum
Papaver rhoeas,Papaver
Solanum-type,Solanum
Rhamnaceae undiff.,Rhamnaceae
Amygdaloideae,Rosaceae
Convolvulaceae undiff.,Convolvulaceae
Cornus subg. Thelycrania,Cornus
Lythraceae undiff.,Lythraceae
Cirsium/Gundelia,Cirsium
Lomelosia rotata-type,Lomelosia
Acer,Acer campestre-type
Alnus,Alnus glutinosa-type
Amaranthaceae,Chenopodiaceae/Amaranthaceae
Apiaceae,Apiaceae
Artemisia,Artemisia
Asteroideae,Compositae subfam. Asteroideae
Betula,Betula pubescens-type
Brassicaceae,Brassicaceae
Calluna vulgaris,Calluna vulgaris
Campanulaceae,Campanulaceae
Cannabaceae-type,Cannabis/Humulus
Carpinus,Carpinus betulus
Caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae)
Centaurea cyanus,Centaurea cyanus-type
Cichorioideae,Compositae subfam. Cichorioideae
Corylus,Corylus
Cyperaceae,Cyperaceae
Epilobium,Epilobium
Ericaceae,Ericales (tetrads)
Fabaceae,Fabaceae
Fagopyrum,Fagopyrum
Fagus,Fagus
Frangula alnus,Frangula alnus
Fraxinus,Fraxinus excelsior-type
Galium,Rubiaceae
Hedera,Hedera
Myrica,Myrica
Picea,Picea abies-type
Pinus,Pinus sylvestris-type
Plantago lanceolata,Plantago lanceolata-type
Plantago media,Plantago media
Poaceae,Poaceae
Quercus,Quercus robur-type
Ranunculaceae,Ranunculaceae
Rosaceae,Rosaceae
Rumex,Rumex/Oxyria
Salix,Salix
Thalictrum,Thalictrum
Tilia,Tilia
Ulmus,Ulmus/Zelkova
Viscum,Viscum
Anthemis-type,Matricaria-type
Aster-type,Aster-type
Calluna,Calluna vulgaris
Caltha-type,Caltha-type
Campanula,Phyteuma-type
Centaurea-type,Centaurea
Circaea,Circaea
Cirsium,Cirsium
Corylus-type,Corylus/Myrica
Crataegus,Crataegus
Empetrum,Empetrum nigrum
Erica-type,Erica
Filipendula,Filipendula
Helianthemum,Helianthemum
Hypericum-type,Hypericum
Ilex,Ilex
Juglans,Juglans
Juniperus,Juniperus communis-type
Lactuca,Lactuca-type
Lythrum salicaria,Lythrum salicaria-type
Melampyrum,Melampyrum
Narthecium,Narthecium
Polygala,Polygala
Potentilla-type,Potentilla-type
Prunus,Prunus-type
Pulmonaria obscura-type,Anchusa/Pulmonaria
Rhinanthus,Rhinanthus-type
Rumex acetosa,Rumex acetosa-type
Rumex acetosella,Rumex acetosella
Rumex obtusifolius,Rumex crispus-type
Sambucus,Sambucus
Saxifraga-type,Saxifraga
Scabiosa,Scabiosa
Serratula-type,Saussurea-type
Sinapis-type,Sinapis-type
Sorbus,Sorbus-type
Stachys-type,Galeopsis-type
Succisa,Succisa-type
Taxus,Taxus baccata
Trifolium-type,Trifolium-type
Ulex,Genista-type
Urtica,Urtica
Valeriana,Valeriana
Vicia-type,Vicia-type
Armeria,Armeria-type
Asteraceae,Asteraceae
Centaurea,Centaurea
Ericales,Ericales (tetrads)
Euphorbiaceae,Euphorbiaceae
Gentianella,Gentianella campestris-type
Geraniaceae,Geraniaceae
Hypericum,Hypericum
Lamiaceae,Lamiaceae
Lonicera,Lonicera
Plantago maritima,Plantago maritima-type
Polygonum,Polygonum-type (tricolporate)
Potentilla,Potentilla-type
Prunella,Prunella-type
Pterocarya,Pterocarya
Saxifragaceae,Saxifragaceae
Trifolium,Trifolium-type
Verbenaceae,Verbenaceae
Betula nana-type,Betula nana-type
Plantago major/P. media,Plantago major-type
Rubiaceae,Rubiaceae
Abies alba,Abies
Achillea-type,Matricaria-type
Anemone-type,Anemone nemorosa-type
Avena-type,Avena-type
Barbarea-type,Brassicaceae
Cardamine pratensis-type,Brassicaceae
Carpinus betulus,Carpinus betulus
Centaurea scabiosa,Centaurea scabiosa-type
Chamaenerion angustifolium,Epilobium angustifolium-type
Chrysosplenium,Chrysosplenium
Cirsium-type,Cynareae
Corylus avellana,Corylus
Echium,Echium
Euonymus,Euonymus
Fagus sylvatica,Fagus
Galium-type,Rubiaceae
Lamium-type,Lamium album-type
Larix decidua,Larix/Pseudotsuga
Lotus-type,Lotus-type
Lysimachia vulgaris-type,Lysimachia vulgaris-type
Lythrum,Lythrum
Mentha-type,Mentha-type
Parnassia palustris,Parnassia palustris
Persicaria maculosa-type,Polygonum persicaria-type
Petasites-type,Petasites
Picea abies,Picea abies-type
Pleurospermum,Pleurospermum-type
Polygonum aviculare,Polygonum aviculare-type
Populus,Populus
Ranunculus arvensis-type,Ranunculus arvensis-type
Ranunculus-type,Ranunculus-type
Rumex acetosa-type,Rumex acetosa-type
Sambucus nigra-type,Sambucus nigra/S. racemosa
Sanguisorba officinalis,Sanguisorba officinalis
Scrophulariaceae,Scrophulariaceae (colporate-reticulate)
Secale-type,Secale cereale
Senecio-type,Senecio-type
Silene-type,Silene-type
Trifolium pratense-type,Trifolium pratense-type
Vaccinium-type,Vaccinium-type
Vitis,Vitis
Betula nana,Betula nana-type
Cerastium-type,Cerastium-type
Dryas octopetala,Dryas octopetala
Ephedra,Ephedra
Hordeum-type,Hordeum-type
Humulus/Cannabis,Cannabis/Humulus
Lathyrus-type,Lathyrus-type
Linnaea borealis,Linnaea borealis
Lonicera-type,Lonicera
Mercurialis,Mercurialis
Oxalis-type,Oxalis
Oxyria-type,Rumex acetosa-type
Persicaria amphibia,Polygonum amphibium
Plantago major,Plantago major
Portulaca,Portulaca
Ranunculus,Ranunculus-type
Secale,Secale cereale
Stellaria-type,Cerastium-type
Triticum,Triticum-type
Viburnum,Viburnum
Abies,Abies
Acer platanoides,Acer campestre-type
Alnus glutinosa,Alnus glutinosa-type
Echinops,Echinops
Fagopyrum esculentum,Fagopyrum esculentum
Fagopyrum tataricum,Fagopyrum tataricum
Knautia arvensis,Knautia
Onagraceae,Onagraceae
Pinus sylvestris,Pinus sylvestris-type
Plumbaginaceae,Plumbaginaceae
Rhamnus,Rhamnus-type
Ribes,Ribes
Spergula/Spergularia,Spergularia-type
Thalictrum aquilegiifolium,Thalictrum aquilegiifolium
Thalictrum lucidum,Thalictrum flavum-type
Ulmus glabra,Ulmus/Zelkova
Ulmus laevis,Ulmus/Zelkova
Ulmus minor,Ulmus/Zelkova
Vitis vinifera,Vitis
Anemone,Anemone nemorosa-type
Arctium,Arctium
Corylus/Myrica,Corylus/Myrica
Hypericaceae,Hypericum
Matricaria,Matricaria-type
Plantago,Plantago
Tilia platyphyllos,Tilia platyphyllos-type
Koenigia,Koenigia islandica
Medicago,Medicago sativa-type
Primulaceae,Primulaceae
Tilia cordata,Tilia cordata-type
Anagallis-type,Anagallis-type
Arbutus unedo,Arbutus
Armeria maritima (type A),Armeria-type
Bidens-type,Bidens-type
Campanula-type,Phyteuma-type
Cannabis-type,Cannabis sativa
Conopodium-type,Apiaceae
Empetrum nigrum,Empetrum nigrum
Erica tetralix,Erica tetralix-type
Euphorbia,Euphorbia
Fraxinus excelsior,Fraxinus excelsior-type
Hedera helix,Hedera
Ilex aquifolium,Ilex
Juglans regia,Juglans regia
Liliaceae,Liliaceae-type
Lonicera periclymenum,Lonicera periclymenum
Myrica gale,Myrica
Narthecium ossifragum,Narthecium
Ononis-type,Ononis
Pedicularis,Pedicularis
Plantago coronopus,Plantago coronopus-type
Plantago lanceolata-type,Plantago lanceolata-type
Rhinanthus-type,Rhinanthus-type
Rubus,Rubus
Sanguisorba,Sanguisorba officinalis
Saxifraga,Saxifraga
Scrophularia-type,Scrophularia-type
Sedum,Sedum-type
Taxus baccata,Taxus baccata
Teucrium,Teucrium
Urtica dioica,Urtica dioica
Vaccinium,Vaccinium
Vicia,Vicia-type
Betula/Corylus/Myrica,Betula/Corylus/Myrica
Buxus,Buxus
Cannabis,Cannabis sativa
Castanea,Castanea sativa
