taxon_name,Pollen_type
Sabal,Sabal
Salix,Salix
Sambucus,Sambucus
Sanguisorba,Sanguisorba
Sapindus,Sapindus
Serenoa,Serenoa
Shepherdia canadensis,Shepherdia
Sisyrinchium,Sisyrinchium
Solanaceae undiff.,Solanaceae
Solanum rostratum,Solanum
Symplocos,Symplocos
Taxodium,Taxodium
Taxus,Taxus
Thalictrum,Thalictrum
Tilia,Tilia
Tillandsia,Tillandsia
Trema,Trema
Trifolium repens-type,Trifolium
Tsuga,Tsuga
Ulmus,Ulmus
Urticaceae undiff.,Urticaceae
Viburnum,Viburnum
Vitis,Vitis
Xanthium,Xanthium
Ximenia,Ximenia
Xyris,Xyris
Alnus incana,Alnus
Alnus undiff.,Alnus
Amaranthaceae,Amaranthaceae
Amelanchier,Amelanchier
Arceuthobium,Arceuthobium
Brassicaceae,Brassicaceae
Ephedra,Ephedra
Eriogonum,Eriogonum
Fabaceae,Fabaceae
Fraxinus,Fraxinus
Juniperus,Juniperus
Pinus albicaulis-type,Pinus
Pinus contorta-type,Pinus
Polygonaceae undiff.,Polygonaceae
Potentilla,Potentilla
Pseudotsuga,Pseudotsuga
Sarcobatus,Sarcobatus
Sphaeralcea,Sphaeralcea
Acer,Acer
Alnus,Alnus
Asteraceae undiff.,Asteraceae
Castanea,Castanea
Cornus,Cornus
Juglans,Juglans
Pinus,Pinus
Rosaceae,Rosaceae
Cupressaceae,Cupressaceae
Elaeagnus,Elaeagnus
Ephedra viridis-type,Ephedra
Euphorbiaceae,Euphorbiaceae
Lamiaceae undiff.,Lamiaceae
Larix,Larix
Malvaceae sensu stricto,Malvaceae
Persicaria lapathifolia-type,Persicaria
Plantago major,Plantago
Polemonium,Polemonium
Polygonum aviculare-type,Polygonum
Primulaceae,Primulaceae
Rhamnus,Rhamnus
Sarcobatus vermiculatus,Sarcobatus
Saxifragaceae,Saxifragaceae
Scrophulariaceae,Scrophulariaceae
Solanaceae,Solanaceae
Viscaceae sensu stricto,Viscaceae
Ambrosia,Ambrosia
Arctostaphylos,Arctostaphylos
Berberis,Berberis
Bistorta bistortoides,Bistorta
Cactaceae,Cactaceae
Cercocarpus,Cercocarpus
Cirsium,Cirsium
Holodiscus,Holodiscus
Liliaceae,Liliaceae
Lonicera,Lonicera
Parkinsonia,Parkinsonia
Pinus edulis-type,Pinus
Pinus flexilis-type,Pinus
Polygonum sensu lato undiff.,Polygonum
Portulacaceae,Portulacaceae
Ranunculus,Ranunculus
Ribes,Ribes
Rubus,Rubus
Trixis,Trixis
Acer negundo,Acer
Acer saccharinum-type,Acer
Caprifoliaceae sensu lato undiff.,Caprifoliaceae
Fraxinus (tetracolpate),Fraxinus
Fraxinus (tricolpate),Fraxinus
Juglans cinerea,Juglans
Juglans nigra,Juglans
Oxyria digyna,Oxyria
Rhamnaceae,Rhamnaceae
Salsola,Salsola
Cyclachaena xanthiifolia,Cyclachaena
Ephedra nevadensis-type,Ephedra
Shepherdia argentea,Shepherdia
Abies balsamea,Abies
Acer pensylvanicum,Acer
Acer saccharum,Acer
Acer spicatum,Acer
Alnus viridis-type,Alnus
Betula undiff.,Betula
Bistorta vivipara,Bistorta
Carya ovata,Carya
Castanea dentata,Castanea
Corylus cornuta,Corylus
Epilobium,Epilobium
Juniperus communis/Thuja occidentalis-type,Juniperus
Koenigia islandica,Koenigia
Myrica gale,Myrica
Oxytropis maydelliana-type,Oxytropis
Pedicularis,Pedicularis
Picea glauca-type,Picea
Picea mariana-type,Picea
Picea undiff.,Picea
Pinaceae,Pinaceae
Pinus banksiana-type,Pinus
Pinus strobus,Pinus
Populus balsamifera-type,Populus
Populus tremuloides-type,Populus
Prunus,Prunus
Rhamnus alnifolia/Frangula alnus,Rhamnus
Saxifraga cernua-type,Saxifraga
Saxifraga oppositifolia-type,Saxifraga
Tsuga canadensis,Tsuga
Anacardiaceae,Anacardiaceae
Aquifoliaceae,Aquifoliaceae
Gleditsia,Gleditsia
Iva annua-type,Iva
Poaceae undiff.,Poaceae
Polygonum sensu lato,Polygonum
Shepherdia,Shepherdia
Aconitum,Aconitum
Alnus viridis,Alnus
Boraginaceae,Boraginaceae
Ericales,undiff
Gentiana,Gentiana
Micranthes hieraciifolia,Micranthes
Pedicularis langsdorffii,Pedicularis
Pedicularis verticillata,Pedicularis
Rubus chamaemorus,Rubus
Saxifraga cernua,Saxifraga
Saxifraga tricuspidata,Saxifraga
Saxifragaceae undiff.,Saxifragaceae
Valeriana,Valeriana
Astragalus,Astragalus
Bistorta officinalis,Bistorta
Dryas,Dryas
Linnaea borealis,Linnaea
Oxytropis,Oxytropis
Rubus arcticus,Rubus
Saussurea,Saussurea
Urtica,Urtica
Eucalyptus,Eucalyptus
Ranunculaceae,Ranunculaceae
Saxifraga oppositifolia,Saxifraga
Valerianoideae,Stachytarpheta
Asteraceae,Asteraceae
Cornaceae,Cornaceae
Gentianaceae,Gentianaceae
Rubiaceae,Rubiaceae
Sapindaceae,Sapindaceae
Tsuga heterophylla,Tsuga
Tsuga mertensiana,Tsuga
Alnus viridis subsp. crispa,Alnus
Betulaceae undiff.,Betulaceae
Elaeagnaceae undiff.,Elaeagnaceae
Lamium,Lamium
Penstemon,Penstemon
Phlox,Phlox
Plantaginaceae undiff.,Plantaginaceae
Polygonum,Polygonum
Populus balsamifera,Populus
Populus tremuloides,Populus
Populus undiff.,Populus
Caprifoliaceae sensu lato,Caprifoliaceae
Claytonia,Claytonia
Polemoniaceae undiff.,Polemoniaceae
Diapensia,Diapensia
Empetrum,Empetrum
Allium,Allium
Anemone canadensis-type,Anemone
Chamaecrista,Chamaecrista
Cornus sericea-type,Cornus
Ephedra trifurca-type,Ephedra
Humulus,Humulus
Hydrophyllum,Hydrophyllum
Hypoxis,Hypoxis
Liliaceae undiff.,Liliaceae
Lilium philadelphicum-type,Lilium
Lysimachia thyrsiflora,Lysimachia
Lythrum,Lythrum
Parietaria,Parietaria
Pinaceae undiff.,Pinaceae
Pinus subg. Strobus undiff.,Pinus
Ranunculaceae (tricolpate),Ranunculaceae
Tidestromia,Tidestromia
Viburnum lentago,Viburnum
Zea mays,Zea
Zigadenus,Zigadenus
Calluna vulgaris,Calluna
Carpinus,Carpinus
Centaurea cyanus,Centaurea
Fagopyrum,Fagopyrum
Frangula alnus,Frangula
Hedera,Hedera
Plantago lanceolata,Plantago
Plantago media,Plantago
Viscum,Viscum
Calluna,Calluna
Campanula,Campanula
Circaea,Circaea
Crataegus,Crataegus
Filipendula,Filipendula
Helianthemum,Helianthemum
Lactuca,Lactuca
Lythrum salicaria,Lythrum
Melampyrum,Melampyrum
Narthecium,Narthecium
Plantago undiff.,Plantago
Polygala,Polygala
Pulmonaria obscura-type,Pulmonaria
Rhinanthus,Rhinanthus
Rumex acetosa,Rumex
Rumex acetosella,Rumex
Rumex obtusifolius,Rumex
Rumex undiff.,Rumex
Scabiosa,Scabiosa
Sorbus,Sorbus
Succisa,Succisa
Ulex,Ulex
Armeria,Armeria
Centaurea,Centaurea
Chenopodiaceae sensu stricto,Amaranthaceae
Faboideae,Faboidea
Gentianella,Gentianella
Geraniaceae,Geraniaceae
Hypericum,Hypericum
Plantago maritima,Plantago
Prunella,Prunella
Pterocarya,Pterocarya
Trifolium,Trifolium
Verbenaceae,Verbenaceae
Betula nana-type,Betula
Ericales undiff.,undiff
Plantago major/P. media,Plantago
Rumex subg. Acetosa,Rumex
Abies alba,Abies
Bistorta officinalis-type,Bistorta
Cardamine pratensis-type,Cardamine
Carpinus betulus,Carpinus
Centaurea scabiosa,Centaurea
Chamaenerion angustifolium,Chamaenerion
Chrysosplenium,Chrysosplenium
Corylus avellana,Corylus
Echium,Echium
Ephedra foeminea-type,Ephedra
Euonymus,Euonymus
Fagus sylvatica,Fagus
Larix decidua,Larix
Lysimachia vulgaris-type,Lysimachia
Parnassia palustris,Parnassia
Persicaria maculosa-type,Persicaria
Picea abies,Picea
Pleurospermum,Pleurospermum
Polygonum aviculare,Polygonum
Ranunculus arvensis-type,Ranunculus
Rumex acetosa-type,Rumex
Sambucus nigra-type,Sambucus
Sanguisorba officinalis,Sanguisorba
Trifolium pratense-type,Trifolium
Viburnum undiff.,Viburnum
Betula nana,Betula
Dryas octopetala,Dryas
Hippophaë,Hippophae
Mercurialis,Mercurialis
Portulaca,Portulaca
Secale,Secale
Triticum,Triticum
Acer platanoides,Acer
Alnus glutinosa,Alnus
Caryophyllaceae undiff.,Caryophyllaceae
Convolvulaceae,Convolvulaceae
Echinops,Echinops
Fagopyrum esculentum,Fagopyrum
Fagopyrum tataricum,Fagopyrum
Fagopyrum undiff.,Fagopyrum
Hippophaë rhamnoides,Hippophae
Knautia arvensis,Knautia
Pinus sylvestris,Pinus
Plumbaginaceae,Plumbaginaceae
Thalictrum aquilegiifolium,Thalictrum
Thalictrum lucidum,Thalictrum
Thalictrum undiff.,Thalictrum
Ulmus glabra,Ulmus
Ulmus laevis,Ulmus
Ulmus minor,Ulmus
Vitis vinifera,Vitis
Anemone,Anemone
Arctium,Arctium
Hypericaceae,Hypericaceae
Matricaria,Matricaria
Tilia platyphyllos,Tilia
Koenigia,Koenigia
Medicago,Medicago
Tilia cordata,Tilia
Arbutus unedo,Arbutus
Armeria maritima (type A),Armeria
Empetrum nigrum,Empetrum
Erica tetralix,Erica
Fraxinus excelsior,Fraxinus
Hedera helix,Hedera
Ilex aquifolium,Ilex
Juglans regia,Juglans
Lonicera periclymenum,Lonicera
Narthecium ossifragum,Narthecium
Plantago coronopus,Plantago
Plantago lanceolata-type,Plantago
Plantago uniflora,Plantago
Potentilla undiff.,Potentilla
Saxifraga,Saxifraga
Sedum,Sedum
Taxus baccata,Taxus
Teucrium,Teucrium
Urtica dioica,Urtica
Vaccinium,Vaccinium
Vicia,Vicia
Ranunculus lingua,Ranunculus
Buxus,Buxus
Cannabis,Cannabis
Ligustrum,Ligustrum
Polygonum oxyspermum subsp. raii,Polygonum
Ranunculus acris,Ranunculus
Stachys,Stachys
Valerianella,Valerianella
Anchusa,Anchusa
Daphne,Daphne
Frangula,Frangula
Geranium,Geranium
Linum catharticum,Linum
Olea,Olea
Papaver,Papaver
Phillyrea,Phillyrea
Pistacia,Pistacia
Quercus ilex,Quercus
Adonis aestivalis,Adonis
Anagallis,Lysimachia
Anarrhinum,Anarrhinum
Anthemis,Anthemis
Aster,Aster
Centranthus,Centranthus
Erica arborea,Erica
Erica australis,Erica
Erica umbellata,Erica
Fumana,Fumana
Herniaria,Herniaria
Lithospermum,Lithospermum
Lotus,Lotus
Mentha,Mentha
Onobrychis,Onobrychis
Paronychia,Paronychia
Serratula,Serratula
Sinapis,Sinapis
Trollius,Trollius
Cannabis sativa,Cannabis
Cornus sanguinea,Cornus
Ericaceae undiff.,Ericaceae
Iris,Iris
Lathyrus,Lathyrus
Linum,Linum
Malva,Malva
Polygonaceae,Polygonaceae
Rhamnus cathartica,Rhamnus
Sambucus nigra,Sambucus
Secale cereale,Secale
Viola,Viola
Aesculus,Aesculus
Avena,Avena
Eryngium,Eryngium
Helleborus,Helleborus
Heracleum sphondylium,Heracleum
Hordeum,Hordeum
Jasione,Jasione
Lobelia,Lobelia
Oxyria,Oxyria
Persicaria,Persicaria
Primula,Primula
Prunus spinosa,Prunus
Anthyllis vulneraria,Anthyllis
Chelidonium,Chelidonium
Ephedra distachya-type,Ephedra
Erica tetralix-type,Erica
Erodium,Erodium
Micranthes stellaris-type,Micranthes
Mimulus,Mimulus
Montia fontana,Montia
Ononis,Ononis
Pinguicula,Pinguicula
Plantago coronopus-type,Plantago
Plantago major/P. media-type,Plantago
Plantago maritima-type,Plantago
Poterium sanguisorba,Poterium
Saxifraga hypnoides-type,Saxifraga
Scutellaria,Scutellaria
Silene dioica-type,Silene
Silene flos-cuculi,Silene
Stellaria holostea,Rabelera
Valeriana officinalis-type,Valeriana
Acacia,Acacia
Adenostyles,Adenostyles
Calceolaria,Calceolaria
Carex,Carex
Cicuta virosa,Cicuta
Coronilla,Coronilla
Dalechampia,Dalechampia
Gladiolus,Gladiolus
Glaucium,Glaucium
Helianthus,Helianthus
Ligustrum vulgare,Ligustrum
Lilium martagon,Lilium
Limosella,Limosella
Luzula,Luzula
Portulaca oleracea-type,Portulaca
Primula vulgaris,Primula
Rhododendron,Rhododendron
Silene dioica,Silene
Viburnum opulus,Viburnum
Zea,Zea
Acer campestre-type,Acer
Apiaceae undiff.,Apiaceae
Campanulaceae undiff.,Campanulaceae
Castanea sativa,Castanea
Centaurea jacea-type,Centaurea
Convolvulus arvensis,Convolvulus
Cyperaceae undiff.,Cyperaceae
Fallopia convolvulus-type,Fallopia
Gypsophila,Gypsophila
Lysimachia,Lysimachia
Mercurialis perennis,Mercurialis
Ranunculus acris-type,Ranunculus
Scleranthus perennis,Scleranthus
Scrophulariaceae undiff.,Scrophulariaceae
Solanum dulcamara,Solanum
Viscum album,Viscum
Adoxa moschatellina,Adoxa
Anemone nemorosa-type,Anemone
Arctostaphylos uva-ursi,Arctostaphylos
Astragalus alpinus,Astragalus
Astragalus cf. A. glycyphyllos,Astragalus
Cornus suecica,Cornus
Humulus lupulus,Humulus
Hypericum perforatum,Hypericum
Juniperus communis,Juniperus
Papaver rhoeas-type,Papaver
Potentilla recta,Potentilla
Prunus padus,Prunus
Ranunculus undiff.,Ranunculus
Rhododendron tomentosum,Rhododendron
Sorbus aucuparia,Sorbus
Stachys sylvatica-type,Stachys
Trientalis europaea,Lysimachia
Gentianella campestris-type,Gentianella
Silene vulgaris-type,Silene
Valeriana officinalis,Valeriana
Rumex subg. Rumex,Rumex
Trientalis,Lysimachia
Achillea,Achillea
Alchemilla,Alchemilla
Arctous alpina,Arctostaphylos
Arenaria,Arenaria
Artemisia norvegica,Artemisia
Astragalus frigidus,Astragalus
Bistorta,Bistorta
Convallaria,Convallaria
Ephedra distachya,Ephedra
Ephedra fragilis,Ephedra
Euphrasia,Euphrasia
Gentiana campestris,Gentianella
Gentiana nivalis,Gentiana
Geum,Geum
Micranthes stellaris,Micranthes
Myricaria,Myricaria
Parnassia,Parnassia
Ranunculus sp.,Ranunculus
Rubus sp.,Rubus
Rumex longifolius,Rumex
Sagina,Sagina
Salix herbacea,Salix
Saxifraga hirculus,Saxifraga
Sibbaldia,Sibbaldia
Silene acaulis,Silene
Tofieldia,Tofieldia
Verbascum,Verbascum
Veronica,Veronica
Astragalus cf. A. alpinus,Astragalus
Geranium sylvaticum-type,Geranium
Rumex acetosa/R. acetosella-type,Rumex
Rumex acetosella-type,Rumex
Salix herbacea-type,Salix
Salix undiff.,Salix
Tofieldia pusilla,Tofieldia
Trollius europaeus,Trollius
Valeriana excelsa subsp. sambucifolia-type,Valeriana
Cannabaceae undiff.,Cannabaceae
Cerastium cerastoides-type,Cerastium
Geranium sylvaticum,Geranium
Pedicularis palustris-type,Pedicularis
Silene acaulis-type,Silene
Artemisia cf. A. norvegica,Artemisia
Lobelia dortmanna,Lobelia
Micranthes nivalis-type,Micranthes
Populus tremula,Populus
Rumex longifolius-type,Rumex
Saxifraga cespitosa-type,Saxifraga
Cerastium,Cerastium
Ephedra distachya subsp. helvetica-type,Ephedra
Ephedra fragilis-type,Ephedra
Erica,Erica
Silene,Silene
Cornus suecica (thick wall),Cornus
Ericaceae cf. Calluna,Ericaceae
Euphorbiaceae cf. Mercurialis,Euphorbiaceae
Onagraceae cf. Epilobium,Onagraceae
Rubus cf. R. idaeus,Rubus
Anagallis cf. A. arvensis,Lysimachia
Anagallis cf. A. tenella,Lysimachia
Cannabaceae,Cannabaceae
Centaurea cyanus-type,Centaurea
Centaurea nigra-type,Centaurea
Diapensia lapponica,Diapensia
Polygonum cf. P. aviculare,Polygonum
Primula farinosa,Primula
Rumex cf. R. longifolius,Rumex
"Alnus (shrub, pale shallow pores)",Alnus
"Alnus (tree, robust deep pores)",Alnus
Betula (hybrid),Betula
Betula (tree),Betula
Cannabaceae cf. Cannabis sativa,Cannabaceae
Centaurea cf. C. cyanus,Centaurea
Micranthes cf. M. stellaris,Micranthes
Plantago cf. P. coronopus,Plantago
Saxifraga cf. S. oppositifolia,Saxifraga
Saxifraga granulata-type,Saxifraga
Spergularia,Spergularia
Anagallis arvensis,Lysimachia
Corylus avellana-type,Corylus
Jasione montana,Jasione
Vicia sylvatica-type,Vicia
Alnus glutinosa-type,Alnus
Anthriscus sylvestris-type,Anthriscus
Bidens,Bidens
Chaerophyllum hirsutum-type,Chaerophyllum
Dipsacus,Dipsacus
Lonicera xylosteum,Lonicera
Phyteuma,Phyteuma
Pimpinella major-type,Pimpinella
Ranunculus arvensis,Ranunculus
Rumex obtusifolius-type,Rumex
Vicia cracca-type,Vicia
Carduus,Carduus
Carum carvi,Carum
Chamaenerion angustifolium-type,Chamaenerion
Daucus,Daucus
Polygonatum,Polygonatum
Sanicula europaea,Sanicula
Viburnum lantana,Viburnum
Gagea,Gagea
Knautia,Knautia
Pinus cembra-type,Pinus
Plantago sp.,Plantago
Pulmonaria,Pulmonaria
Symphytum,Symphytum
Fallopia,Fallopia
Gypsophila repens-type,Gypsophila
Koenigia alpina,Koenigia
Montia,Montia
Papaveraceae,Papaveraceae
Plantago major-type,Plantago
Pleurospermum austriacum,Pleurospermum
Scleranthus annuus,Scleranthus
Soldanella,Soldanella
Valeriana dioica-type,Valeriana
Plantago media-type,Plantago
Centaurea stoebe-type,Centaurea
Galeopsis,Galeopsis
Gentiana asclepiadea-type,Gentiana
Lysimachia vulgaris,Lysimachia
Oxalis,Oxalis
Ribes cf. R. alpinum,Ribes
Sambucus cf. S. ebulus,Sambucus
Valeriana dioica subsp. simplicifolia,Valeriana
Veratrum,Veratrum
Viola arvensis-type,Viola
Lysimachia nemorum,Lysimachia
Pinguicula vulgaris,Pinguicula
Helianthemum nummularium-type,Helianthemum
Helianthemum oelandicum subsp. alpestris-type,Helianthemum
Paradisea liliastrum,Paradisea
Pinus cembra,Pinus
Plantago alpina-type,Plantago
Plantago atrata-type,Plantago
Androsace,Androsace
Bupleurum,Bupleurum
Centaurea nigra,Centaurea
Crassulaceae,Crassulaceae
Linaria,Linaria
Odontites,Odontites
Oleaceae,Oleaceae
Ostrya,Ostrya
Quercus ilex-type,Quercus
Quercus robur-type,Quercus
Urticaceae,Urticaceae
Calystegia,Calystegia
Centaurea jacea,Centaurea
Cynoglossum,Cynoglossum
Dianthus,Dianthus
Digitalis,Digitalis
Gentiana pneumonanthe-type,Gentiana
Linum usitatissimum,Linum
Lotus pedunculatus,Lotus
Myosotis,Myosotis
Reseda,Reseda
Scleranthus,Scleranthus
Solanum nigrum,Solanum
Spergula arvensis,Spergula
Vicia cracca,Vicia
Aquilegia,Aquilegia
Asphodelus,Asphodelus
Centaurea collina,Centaurea
Convolvulus,Convolvulus
Juncaceae,Juncaceae
Ceratonia,Ceratonia
Cistus,Cistus
Quercus suber-type,Quercus
Cytisus,Cytisus
Lilium,Lilium
Quercus robur,Quercus
Spergula,Spergula
Cuscuta,Cuscuta
Epipactis,Epipactis
Hypericum perforatum-type,Hypericum
Lycopsis arvensis-type,Lycopsis
Rhododendron subsect. Ledum,Rhododendron
Rhus coriaria-type,Rhus
Convolvulus arvensis-type,Convolvulus
Cuscuta europaea-type,Cuscuta
Iris pseudacorus-type,Iris
Jasione montana-type,Jasione
Rumex aquaticus-type,Rumex
Rumex crispus-type,Rumex
Sanguisorba minor-type,Sanguisorba
Saxifraga aizoides-type,Saxifraga
Thesium,Thesium
Tilia cordata-type,Tilia
Tilia platyphyllos-type,Tilia
Viburnum opulus-type,Viburnum
Cerastium alpinum-type,Cerastium
Cerastium undiff.,Cerastium
Filipendula vulgaris,Filipendula
Hypericum pulchrum-type,Hypericum
Prunus cf. P. padus,Prunus
Rubus saxatilis,Rubus
Salix pentandra-type,Salix
Saussurea nuda,Saussurea
Saxifraga aizoides,Saxifraga
Stellaria undiff.,Stellaria
Succisa pratensis,Succisa
Chrysosplenium oppositifolium,Chrysosplenium
Prunus avium/P. spinosa,Prunus
Silene uniflora subsp. uniflora-type,Silene
Alnus glutinosa/A. incana,Alnus
Centaurea collina-type,Centaurea
Koenigia alpina-type,Koenigia
Persicaria amphibia-type,Persicaria
Plantago alpina,Plantago
Centaurea montana-type,Centaurea
Eranthis hyemalis,Eranthis
Falcaria vulgaris,Falcaria
Petasites,Petasites
Rumex alpinus,Rumex
Spiraea,Spiraea
Agrimonia,Agrimonia
Allium ursinum-type,Allium
Anemone sect. Pulsatilla,Pulsatilla
Anthericum,Anthericum
Aruncus dioicus,Aruncus
Bistorta officinalis/B. vivipara,Bistorta
Calystegia sepium,Calystegia
Centaurea scabiosa-type,Centaurea
Echium vulgare,Echium
Epipactis palustris,Epipactis
Gypsophila fastigiata,Gypsophila
Helianthemum canum-type,Helianthemum
Helianthemum oelandicum-type,Helianthemum
Linum catharticum-type,Linum
Lithospermum officinale,Lithospermum
Loranthus europaeus,Loranthus
Lysimachia nummularia,Lysimachia
Lythrum portula,Lythrum
Malus,Malus
Medicago sativa,Medicago
Ranunculus flammula-type,Ranunculus
Rumex acetosa/Oxyria-type,Rumex
Rumex crispus,Rumex
Salix glauca-type,Salix
Salix polaris-type,Salix
Salvia,Salvia
Scorzonera humilis-type,Scorzonera
Scrophularia,Scrophularia
Solanum nigrum-type,Solanum
Syringa vulgaris,Syringa
Trifolium repens,Trifolium
Urtica urens,Urtica
Valeriana dioica,Valeriana
Rosaceae (trees),Rosaceae
Centaurea montana,Centaurea
Heracleum,Heracleum
Lilium martagon-type,Lilium
Euphorbiaceae undiff.,Euphorbiaceae
Gentiana pneumonanthe,Gentiana
Jasminum,Jasminum
Solanum,Solanum
Viola arvensis,Viola
Viola riviniana,Viola
Sambucus nigra/S. racemosa,Sambucus
Nigella,Nigella
Persicaria maculosa,Persicaria
Chenopodium,Chenopodium
Fraxinus ornus,Fraxinus
Genista,Genista
Pinus pinaster-type,Pinus
Quercus coccifera,Quercus
Bruckenthalia,Erica
Cornus mas,Cornus
Rheum,Rheum
Apium,Apium
Araliaceae undiff.,Araliaceae
Astrantia major,Astrantia
Bryonia,Bryonia
Chelidonium majus,Chelidonium
Cornus mas-type,Cornus
Euonymus europaeus,Euonymus
Fallopia convolvulus,Fallopia
Hippocrepis,Hippocrepis
Linum alpinum-type,Linum
Oxalis acetosella,Oxalis
Papaver argemone-type,Papaver
Trifolium spadiceum,Trifolium
Anemone nemorosa,Anemone
Poaceae undiff. (>40 µm),Poaceae
Poaceae undiff. (<40 µm),Poaceae
Rumex acetosa/R. acetosella,Rumex
Stachys sylvatica,Stachys
Armeria maritima (type B),Armeria
Cuscuta lupuliformis,Cuscuta
Helianthemum undiff.,Helianthemum
Spergula arvensis-type,Spergula
Verbena officinalis,Verbena
Agrostemma githago,Agrostemma
Cornus cf. C. suecica,Cornus
Gentianella campestris,Gentianella
Primula vulgaris-type,Primula
Sambucus cf. S. racemosa,Sambucus
Saxifraga cf. S. nivalis,Saxifraga
Stellaria cf. S. palustris,Stellaria
Stellaria graminea,Stellaria
Carex hirta-type,Carex
Caryophyllaceae cf. Silene latifolia subsp. alba,Caryophyllaceae
Gypsophila muralis,Psammophiliella
Melilotus officinalis,Melilotus
Pyrola,Pyrola
Stellaria,Stellaria
Stellaria cf. S. media,Stellaria
Allium vineale-type,Allium
Armeria maritima subsp. elongata,Armeria
Iris pseudacorus,Iris
Papaver argemone,Roemeria
Polygala vulgaris,Polygala
Rumex conglomeratus-type,Rumex
Saxifraga cf. S. aizoides,Saxifraga
Trifolium pratense,Trifolium
Chenopodium album,Chenopodium
Fumaria,Fumaria
Pimpinella,Pimpinella
Scabiosa columbaria,Scabiosa
Valerianella dentata,Valerianella
Hornungia,Hornungia
Listera,Listera
Poaceae (large),Poaceae
Anthriscus sylvestris,Anthriscus
Calluna vulgaris-type,Calluna
Centaurea montana/Cyanus triumfettii,Centaurea
Cerastium fontanum-type,Cerastium
Cornus sanguinea-type,Cornus
Falcaria vulgaris-type,Falcaria
Fraxinus excelsior-type,Fraxinus
Herniaria glabra-type,Herniaria
Ilex aquifolium-type,Ilex
Laurus,Laurus
Ligusticum mutellina,Mutellina
Linum austriacum-type,Linum
Morus alba,Morus
Pentaglottis sempervirens,Pentaglottis
Pinus sylvestris-type,Pinus
Sambucus racemosa,Sambucus
Saxifraga granulata,Saxifraga
Sorbus aucuparia-type,Sorbus
Trifolium badium-type,Trifolium
Berberis vulgaris,Berberis
Betula cf. B. nana,Betula
Corydalis,Corydalis
Cyperus,Cyperus
Empetrum cf. E. nigrum,Empetrum
Gypsophila fastigiata-type,Gypsophila
Populus tremula-type,Populus
Silene undiff.,Silene
Urtica cf. U. dioica,Urtica
Buxus sempervirens,Buxus
Fallopia convolvulus/F. dumetorum,Fallopia
Polygonatum verticillatum,Polygonatum
Primula farinosa-type,Primula
Rumex cf. R. obtusifolius,Rumex
